StateCode,StateName,Year,state_category,expenditure_rural_health,expenditure_urban_health,expenditure_public_health
1,Jammu And Kashmir,2015,Major (Non EAG States),898.8985843851,309.0880877755,73.3595145037
1,Jammu And Kashmir,2016,Major (Non EAG States),4508883.124290351,7703572.605702301,650375.1336569433
1,Jammu And Kashmir,2017,Major (Non EAG States),5182085.782607118,8318996.332269112,717616.4646510141
1,Jammu And Kashmir,2018,Major (Non EAG States),5236741.555292938,8194665.648961419,353031.4150900575
1,Jammu And Kashmir,2019,Major (Non EAG States),6132672.502784611,6716850.944934016,614026.9614106612
2,Himachal Pradesh,2015,Major (Non EAG States),476.0,357.0,34.0
2,Himachal Pradesh,2016,Major (Non EAG States),7261502.0,4052171.0,373320.0
2,Himachal Pradesh,2017,Major (Non EAG States),7427195.0,4443337.0,563807.0
2,Himachal Pradesh,2018,Major (Non EAG States),8550963.0,4739312.0,685282.0
2,Himachal Pradesh,2019,Major (Non EAG States),7569923.0,4924048.0,835479.0
3,Punjab,2015,Major (Non EAG States),514.0,1217.0,195.0
3,Punjab,2016,Major (Non EAG States),5179139.0,16553164.0,1666279.0
3,Punjab,2017,Major (Non EAG States),5348080.0,15120803.0,1713096.0
3,Punjab,2018,Major (Non EAG States),6270610.0,19417455.0,1849520.0
3,Punjab,2019,Major (Non EAG States),6196169.0,21771154.0,1994096.0
4,Chandigarh,2015,Union Territories,,,
4,Chandigarh,2016,Union Territories,,,
4,Chandigarh,2017,Union Territories,,,
4,Chandigarh,2018,Union Territories,,,
4,Chandigarh,2019,Union Territories,,,
5,Uttarakhand,2015,EAG+1 States,632.0,442.0,167.0
5,Uttarakhand,2016,EAG+1 States,6494412.0,4577664.0,1420867.0
5,Uttarakhand,2017,EAG+1 States,5848963.0,5675785.0,1800517.0
5,Uttarakhand,2018,EAG+1 States,8378878.0,7477730.0,1692636.0
5,Uttarakhand,2019,EAG+1 States,7336947.0,7990505.0,1958180.0
6,Haryana,2015,Major (Non EAG States),862.0,785.0,179.0
6,Haryana,2016,Major (Non EAG States),11528157.0,8333562.0,1795210.0
6,Haryana,2017,Major (Non EAG States),11821712.0,11042530.0,1879478.0
6,Haryana,2018,Major (Non EAG States),14784312.0,13090636.0,2126840.0
6,Haryana,2019,Major (Non EAG States),18590048.0,16007802.0,2752346.0
7,Delhi,2015,Major (Non EAG States),6.0,2798.0,293.0
7,Delhi,2016,Major (Non EAG States),402359.0,31106023.0,2566430.0
7,Delhi,2017,Major (Non EAG States),95402.0,38278718.0,2042345.0
7,Delhi,2018,Major (Non EAG States),160578.0,42716901.0,2746570.0
7,Delhi,2019,Major (Non EAG States),488443.0,45065362.0,2652885.0
8,Rajasthan,2015,EAG+1 States,1892.0,1829.0,849.0
8,Rajasthan,2016,EAG+1 States,20457303.0,20569608.0,9711815.0
