StateCode,StateName,Year,stunting_pct,underweight_pct,improved_sanitation_pct,improved_water_pct,health_insurance_coverage_pct,tobacco_use_men_pct
1.0,Jammu and Kashmir,2019,28.0,20.45,78.94999999999999,93.94999999999999,14.7,36.3
2.0,Himachal Pradesh,2019,29.15,25.1,83.15,97.15,35.6,29.4
3.0,Punjab,2019,24.799999999999997,17.15,86.85,98.95,25.55,12.7
4.0,Chandigarh,2019,25.2,20.2,66.5,99.55,32.3,-5.85
5.0,Uttarakhand,2019,26.25,20.95,79.35,96.9,62.25,32.2
6.0,Haryana,2019,27.1,21.15,85.3,98.75,26.25,27.700000000000003
7.0,Delhi,2019,28.65,16.75,84.15,98.75,26.05,29.15
8.0,Rajasthan,2019,30.450000000000003,26.75,76.65,97.35,85.2,39.099999999999994
9.0,Uttar Pradesh,2019,37.15,30.65,72.85,99.25,16.15,41.150000000000006
10.0,Bihar,2019,40.349999999999994,38.8,57.45,99.35,13.35,45.5
11.0,Sikkim,2019,20.35,11.95,86.65,93.75,26.4,40.65
12.0,Arunachal Pradesh,2019,28.15,14.45,81.65,95.5,31.05,47.95
13.0,Nagaland,2019,30.900000000000002,26.1,86.30000000000001,91.65,19.05,48.15
14.0,Manipur,2019,22.6,13.2,64.05,79.65,13.8,56.9
15.0,Mizoram,2019,28.7,12.55,95.15,95.5,47.0,73.45
16.0,Tripura,2019,30.5,22.35,75.05,91.1,30.7,55.45
17.0,Meghalaya,2019,41.650000000000006,24.75,82.3,84.6,59.65,53.8
18.0,Assam,2019,32.9,29.75,69.05000000000001,88.65,56.0,48.599999999999994
19.0,West Bengal,2019,33.25,31.1,69.85,97.75,28.45,47.3
20.0,Jharkhand,2019,34.55,35.7,63.35,89.35,47.35,44.1
21.0,Odisha,2019,28.45,26.25,65.15,93.55,40.6,47.3
22.0,Chhattisgarh,2019,32.85,29.25,80.85,96.65,70.44999999999999,39.7
23.0,Madhya Pradesh,2019,33.7,31.400000000000002,70.2,91.80000000000001,39.099999999999994,43.05
24.0,Gujarat,2019,37.7,38.4,76.3,97.55000000000001,38.7,40.150000000000006
27.0,Maharashtra,2019,35.2,35.65,72.25,93.9,20.0,33.4
28.0,Andhra Pradesh,2019,28.650000000000002,28.25,80.6,97.4,67.95,20.700000000000003
29.0,Karnataka,2019,34.7,32.15,76.45,95.69999999999999,28.1,26.15
30.0,Goa,2019,26.25,24.55,87.7,98.4,66.3,17.9
31.0,Lakshadweep,2019,33.15,23.45,99.85,90.65,62.55,31.849999999999998
32.0,Kerala,2019,23.25,19.65,98.75,95.0,51.3,16.8
33.0,Tamil Nadu,2019,24.7,21.75,73.05,98.6,66.25,20.0
34.0,Puducherry,2019,18.65,14.8,81.9,99.9,30.25,15.55
35.0,Andaman and Nicobar Islands,2019,22.299999999999997,23.1,88.0,96.65,1.5,55.550000000000004
36.0,Telangana,2019,31.900000000000002,30.4,77.35,98.9,58.95,20.85
37.0,Ladakh,2019,29.65,19.1,54.75,91.95,19.4,37.3
38.0,The Dadra and Nagar Haveli and Daman and Diu,2019,39.3,38.55,65.9,95.55000000000001,52.9,38.55
