StateCode,StateName,Year,barrier_financial_pct,barrier_services_unavailable_pct,barrier_distance_pct,barrier_quality_pct
1,Jammu And Kashmir,2017,0.0,15.4,1.2,47.2
2,Himachal Pradesh,2017,0.1,12.4,11.9,27.0
3,Punjab,2017,0.3,15.2,5.5,31.6
4,Chandigarh,2017,0.0,19.4,1.9,27.3
5,Uttarakhand,2017,0.0,18.2,3.6,44.6
6,Haryana,2017,0.1,6.2,3.8,39.8
7,Delhi,2017,0.1,5.5,7.2,31.3
8,Rajasthan,2017,0.2,14.8,3.6,38.4
9,Uttar Pradesh,2017,0.0,12.1,3.7,49.9
10,Bihar,2017,0.1,12.9,2.8,57.5
11,Sikkim,2017,0.0,15.0,2.3,39.1
12,Arunachal Pradesh,2017,0.0,29.0,0.5,7.4
13,Nagaland,2017,0.0,7.7,1.7,23.6
14,Manipur,2017,0.0,8.7,2.2,12.8
15,Mizoram,2017,0.0,4.1,6.4,4.6
16,Tripura,2017,0.0,35.5,8.0,23.6
17,Meghalaya,2017,0.1,5.9,1.9,8.7
18,Assam,2017,6.7,17.1,9.5,23.4
19,West Bengal,2017,0.3,13.6,2.7,33.2
20,Jharkhand,2017,0.9,15.4,8.0,42.1
21,Odisha,2017,0.3,20.4,3.1,28.2
22,Chhattisgarh,2017,3.1,23.9,6.7,23.8
23,Madhya Pradesh,2017,0.0,18.5,4.2,40.3
24,Gujarat,2017,0.4,11.7,6.8,30.2
27,Maharashtra,2017,0.5,17.0,6.3,35.2
28,Andhra Pradesh,2017,0.0,13.7,4.7,39.4
29,Karnataka,2017,0.3,25.3,6.1,43.9
30,Goa,2017,0.0,19.4,3.8,20.9
31,Lakshadweep,2017,0.0,50.3,6.3,4.4
32,Kerala,2017,0.0,17.7,7.6,13.3
33,Tamil Nadu,2017,0.1,16.1,8.9,30.6
34,Puducherry,2017,0.0,29.2,10.6,20.5
35,Andaman And Nicobar Islands,2017,0.0,20.6,5.2,43.4
36,Telangana,2017,0.0,9.6,2.6,53.9
37,Ladakh,2017,0.0,15.4,1.2,47.2
38,The Dadra And Nagar Haveli And Daman And Diu,2017,0.0,3.9971518215,1.8835089963,37.8486854024
