StateCode,StateName,Year,success_rate,ltfu_rate,death_rate,failure_rate,tb_patients_notified,success_rate_public,ltfu_rate_public,death_rate_public,success_rate_private,ltfu_rate_private,death_rate_private,notification_achievement,notification_target,notification_achievement_rate,presumptive_cases_examined,presumptive_examination_rate,population,drtb_pct,tb_hiv_coinfected_pct,tb_dm_coinfected_pct,tb_tobacco_pct,lab_tech_fill_rate,phc_doctor_fill_rate,chc_specialist_fill_rate,anm_fill_rate,pharmacist_fill_rate,state_category,expenditure_rural_health,expenditure_urban_health,expenditure_public_health,stunting_pct,underweight_pct,improved_sanitation_pct,improved_water_pct,health_insurance_coverage_pct,tobacco_use_men_pct,oop_per_hospitalisation,barrier_financial_pct,barrier_services_unavailable_pct,barrier_distance_pct,barrier_quality_pct,treatment_from_govt_pct,treatment_from_private_pct
1,Jammu And Kashmir,2018,82.0,2.0,2.0,1.0,11629.928365983,84.0,2.0,3.0,65.0,1.0,0.0,11212.0,18957.0,0.5914437938492377,123747.7196991035,883.0,140.2232200609,,,,,,,,,,Major (Non EAG States),5236741.555292938,8194665.648961419,353031.4150900575,28.0,20.45,78.94999999999999,93.95,14.7,36.3,8724.0,0.0,15.4,1.2,47.2,89.8,5.6
1,Jammu And Kashmir,2019,85.0,1.4,2.6,0.5,11345.0,85.0,1.5,2.7,84.0,0.7,1.3,11337.0,17580.0,0.6448805460750853,123313.4313732417,864.0,142.8065215672,,,,,0.039445628997852,0.4040207522697503,0.2965116279069439,0.1006047278724533,0.0104166666666359,Major (Non EAG States),6132672.502784611,6716850.944934016,614026.9614106612,28.0,20.45,78.94999999999999,93.95,14.7,36.3,8724.0,0.0,15.4,1.2,47.2,89.8,5.6
1,Jammu And Kashmir,2020,83.0,1.4,3.5,0.6,8800.0,83.0,1.3,3.6,82.0,1.7,2.5,8756.0,18000.0,0.4864444444444444,138609.0,956.0,145.0,,0.0,,,0.1215139442231075,0.3635748138117806,0.2834890965732087,0.0978,0.1792086889061288,,,,,28.0,20.45,78.94999999999999,93.95,14.7,36.3,8724.0,0.0,15.4,1.2,47.2,89.8,5.6
1,Jammu And Kashmir,2021,86.1,1.6,3.8,0.7,10909.0,85.8,1.6,3.9,91.7,1.6,3.2,10766.0,14000.0,0.769,195228.0,1323.0,148.0,,,6.0,8.0,0.1604342581423401,0.374189364461738,0.4123376623376623,0.0651713922979263,0.1928512053200332,,,,,28.0,20.45,78.94999999999999,93.95,14.7,36.3,8724.0,0.0,15.4,1.2,47.2,89.8,5.6
1,Jammu And Kashmir,2022,86.5,1.2,3.7,0.3,11802.0,86.2,1.2,3.8,91.5,1.1,1.8,11243.0,14500.0,0.7753793103448275,318019.0,2206.0,144.16,1.0,,7.0,6.0,0.1375515818431912,0.4068241469816273,0.4429824561403508,0.1088154269972451,0.1375095492742551,,,,,28.0,20.45,78.94999999999999,93.95,14.7,36.3,8724.0,0.0,15.4,1.2,47.2,89.8,5.6
2,Himachal Pradesh,2018,89.0,2.0,4.0,0.0,16595.0,89.0,2.0,4.0,82.0,2.0,3.0,16365.0,17839.0,0.9173720500028028,134250.0,1825.0,73.5516,,,,,,,,,,Major (Non EAG States),8550963.0,4739312.0,685282.0,29.15,25.1,83.15,97.15,35.6,29.4,18132.0,0.1,12.4,11.9,27.0,76.6,19.7
2,Himachal Pradesh,2019,90.0,1.5,4.8,0.3,17368.0,90.0,1.4,4.8,87.0,2.3,5.0,17135.0,18000.0,0.9519444444444444,227689.0,3066.0,74.3,,,,,,0.3268698060941828,,0.2251154976900462,0.5067340067340067,Major (Non EAG States),7569923.0,4924048.0,835479.0,29.15,25.1,83.15,97.15,35.6,29.4,18132.0,0.1,12.4,11.9,27.0,76.6,19.7
2,Himachal Pradesh,2020,88.0,1.1,5.4,0.4,13299.0,88.0,1.0,5.5,80.0,3.8,4.8,13172.0,18000.0,0.7317777777777777,131376.0,1752.0,75.0,,1.0,,,0.799163179916318,0.3476454293628809,0.0,0.2704953967558088,0.293222683264177,,,,,29.15,25.1,83.15,97.15,35.6,29.4,18132.0,0.1,12.4,11.9,27.0,76.6,19.7
2,Himachal Pradesh,2021,87.6,1.0,6.1,0.5,14532.0,87.7,1.0,6.2,84.2,2.0,4.5,14300.0,15000.0,0.9533333333333334,156389.0,2066.0,76.0,,,8.0,12.5,0.6174496644295302,0.1634304207119741,,0.3616252821670428,0.2377521613832853,,,,,29.15,25.1,83.15,97.15,35.6,29.4,18132.0,0.1,12.4,11.9,27.0,76.6,19.7
2,Himachal Pradesh,2022,86.7,1.5,5.7,0.3,16168.0,86.9,1.5,5.8,81.0,2.4,3.0,16065.0,16500.0,0.9736363636363636,303182.0,3968.0,76.41,2.5,,9.0,11.0,0.6209150326797386,0.2304147465437788,,0.7213240954580447,0.296195652173913,,,,,29.15,25.1,83.15,97.15,35.6,29.4,18132.0,0.1,12.4,11.9,27.0,76.6,19.7
