StateCode,StateName,Year,state_category,success_rate,ltfu_rate,death_rate,lab_tech_fill_rate,phc_doctor_fill_rate,anm_fill_rate,chc_specialist_fill_rate,oop_per_hospitalisation,barrier_financial_pct,barrier_distance_pct,tb_dm_coinfected_pct,drtb_pct,stunting_pct,improved_sanitation_pct,health_insurance_coverage_pct,notification_achievement_rate,presumptive_examination_rate
1,Jammu And Kashmir,2019,Major (Non EAG States),85.0,1.4,2.6,0.039445628997852,0.4040207522697503,0.1006047278724533,0.2965116279069439,8724.0,0.0,120.0,,,28.0,78.94999999999999,14.7,0.6448805460750853,864.0
1,Jammu And Kashmir,2020,,83.0,1.4,3.5,0.1215139442231075,0.3635748138117806,0.0978,0.2834890965732087,8724.0,0.0,120.0,,,28.0,78.94999999999999,14.7,0.4864444444444444,956.0
1,Jammu And Kashmir,2021,,86.1,1.6,3.8,0.1604342581423401,0.374189364461738,0.0651713922979263,0.4123376623376623,8724.0,0.0,120.0,6.0,,28.0,78.94999999999999,14.7,0.769,1323.0
1,Jammu And Kashmir,2022,,86.5,1.2,3.7,0.1375515818431912,0.4068241469816273,0.1088154269972451,0.4429824561403508,8724.0,0.0,120.0,7.0,1.0,28.0,78.94999999999999,14.7,0.7753793103448275,2206.0
2,Himachal Pradesh,2019,Major (Non EAG States),90.0,1.5,4.8,,0.3268698060941828,0.2251154976900462,,18132.0,10.0,1190.0,,,29.15,83.15,35.6,0.9519444444444444,3066.0
2,Himachal Pradesh,2020,,88.0,1.1,5.4,0.799163179916318,0.3476454293628809,0.2704953967558088,0.0,18132.0,10.0,1190.0,,,29.15,83.15,35.6,0.7317777777777777,1752.0
2,Himachal Pradesh,2021,,87.6,1.0,6.1,0.6174496644295302,0.1634304207119741,0.3616252821670428,,18132.0,10.0,1190.0,8.0,,29.15,83.15,35.6,0.9533333333333334,2066.0
2,Himachal Pradesh,2022,,86.7,1.5,5.7,0.6209150326797386,0.2304147465437788,0.7213240954580447,,18132.0,10.0,1190.0,9.0,2.5,29.15,83.15,35.6,0.9736363636363636,3968.0
3,Punjab,2019,Major (Non EAG States),81.0,2.8,4.9,0.017825311942959,0.0226086956521739,0.0,0.8125,28177.0,30.0,550.0,,,24.8,86.85,25.55,0.8829538461538462,774.0
3,Punjab,2020,,80.0,2.5,5.7,0.3160621761658031,0.3316239316239316,0.175462035181474,0.7134020618556701,28177.0,30.0,550.0,,,24.8,86.85,25.55,0.6374027777777778,473.0
3,Punjab,2021,,84.4,2.5,5.0,0.2987164527421236,0.3426229508196721,0.25716174526223,0.7277580071174378,28177.0,30.0,550.0,10.0,,24.8,86.85,25.55,0.7013055555555555,449.0
3,Punjab,2022,,83.9,2.5,4.6,0.3066361556064073,0.3113673805601318,0.3375329622033401,0.7383015597920277,28177.0,30.0,550.0,11.0,1.6,24.8,86.85,25.55,0.7715571428571428,753.0
4,Chandigarh,2019,Union Territories,83.0,4.1,3.3,,,,,38033.0,0.0,190.0,,,25.2,66.5,32.3,0.964153846153846,2600.0
4,Chandigarh,2020,,81.0,3.7,4.6,,,,,38033.0,0.0,190.0,,,25.2,66.5,32.3,0.5141333333333333,1362.0
4,Chandigarh,2021,,84.1,3.1,3.7,,,,,38033.0,0.0,190.0,8.0,,25.2,66.5,32.3,,1213.0
4,Chandigarh,2022,,83.2,3.0,4.0,,,,,38033.0,0.0,190.0,9.0,2.5,25.2,66.5,32.3,0.7972222222222223,2312.0
