StateCode,StateName,DistrictCode,DistrictName,Year,phc_count,chc_count,sc_count,dh_count
1,Jammu and Kashmir,1,Anantnag,2016,40.0,5.0,157.0,1.0
1,Jammu and Kashmir,1,Anantnag,2017,40.0,5.0,157.0,1.0
1,Jammu and Kashmir,1,Anantnag,2018,19.0,5.0,149.0,1.0
1,Jammu and Kashmir,1,Anantnag,2020,65.0,5.0,139.0,0.0
1,Jammu and Kashmir,1,Anantnag,2021,65.0,5.0,139.0,0.0
1,Jammu and Kashmir,2,Budgam,2016,50.0,9.0,153.0,1.0
1,Jammu and Kashmir,2,Budgam,2017,50.0,9.0,153.0,1.0
1,Jammu and Kashmir,2,Budgam,2018,49.0,9.0,152.0,1.0
1,Jammu and Kashmir,2,Budgam,2020,70.0,9.0,136.0,1.0
1,Jammu and Kashmir,2,Budgam,2021,70.0,9.0,136.0,1.0
1,Jammu and Kashmir,3,Baramulla,2016,54.0,6.0,217.0,1.0
1,Jammu and Kashmir,3,Baramulla,2017,54.0,6.0,217.0,1.0
1,Jammu and Kashmir,3,Baramulla,2018,32.0,6.0,212.0,1.0
1,Jammu and Kashmir,3,Baramulla,2020,86.0,7.0,188.0,0.0
1,Jammu and Kashmir,3,Baramulla,2021,86.0,7.0,188.0,0.0
1,Jammu and Kashmir,4,Doda,2016,33.0,3.0,105.0,1.0
1,Jammu and Kashmir,4,Doda,2018,26.0,3.0,151.0,1.0
1,Jammu and Kashmir,4,Doda,2020,42.0,3.0,163.0,0.0
1,Jammu and Kashmir,4,Doda,2021,42.0,3.0,163.0,0.0
1,Jammu and Kashmir,5,Jammu,2016,45.0,8.0,204.0,1.0
1,Jammu and Kashmir,5,Jammu,2017,45.0,8.0,204.0,1.0
1,Jammu and Kashmir,5,Jammu,2018,37.0,8.0,176.0,2.0
1,Jammu and Kashmir,5,Jammu,2020,101.0,9.0,162.0,2.0
1,Jammu and Kashmir,5,Jammu,2021,101.0,9.0,162.0,1.0
1,Jammu and Kashmir,7,Kathua,2016,35.0,5.0,197.0,1.0
1,Jammu and Kashmir,7,Kathua,2017,35.0,5.0,197.0,1.0
1,Jammu and Kashmir,7,Kathua,2018,38.0,5.0,188.0,1.0
1,Jammu and Kashmir,7,Kathua,2020,53.0,5.0,185.0,0.0
1,Jammu and Kashmir,7,Kathua,2021,53.0,5.0,185.0,0.0
1,Jammu and Kashmir,8,Kupwara,2016,39.0,7.0,259.0,1.0
1,Jammu and Kashmir,8,Kupwara,2017,39.0,7.0,259.0,1.0
1,Jammu and Kashmir,8,Kupwara,2018,17.0,7.0,259.0,1.0
