StateCode,StateName,Year,cases_notified_female,cases_notified_male,cases_notified_transgender,death_rate_female,death_rate_male,death_rate_transgender,success_rate_female,success_rate_male,success_rate_transgender,success_rate_gender_gap
1,Jammu And Kashmir,2021,4739.0,6743.0,25.0,2.0,3.0,0.0,87.0,83.0,88.0,-4.0
1,Jammu And Kashmir,2022,3634.0,5162.0,4.0,3.0,4.0,0.0,84.0,82.0,75.0,-2.0
1,Jammu And Kashmir,2023,4556.0,6349.0,4.0,3.1,4.3,0.0,88.2,84.6,100.0,-3.6000000000000085
2,Himachal Pradesh,2021,6647.0,11243.0,21.0,4.0,6.0,5.0,91.0,88.0,76.0,-3.0
2,Himachal Pradesh,2022,5082.0,8210.0,7.0,4.0,7.0,0.0,90.0,86.0,86.0,-4.0
2,Himachal Pradesh,2023,5559.0,8970.0,3.0,4.7,7.0,0.0,89.5,86.4,66.7,-3.0999999999999943
3,Punjab,2021,24979.0,34342.0,78.0,4.0,6.0,4.0,82.0,78.0,74.0,-4.0
3,Punjab,2022,19811.0,26639.0,41.0,5.0,7.0,15.0,82.0,78.0,80.0,-4.0
3,Punjab,2023,22607.0,29611.0,35.0,4.1,5.7,5.7,86.1,83.1,88.6,-3.0
4,Chandigarh,2021,1578.0,1952.0,10.0,3.0,4.0,0.0,85.0,79.0,100.0,-6.0
4,Chandigarh,2022,1309.0,1515.0,5.0,3.0,6.0,0.0,86.0,76.0,80.0,-10.0
4,Chandigarh,2023,1463.0,1675.0,7.0,2.8,4.5,0.0,86.5,82.0,100.0,-4.5
5,Uttarakhand,2021,10295.0,14805.0,27.0,3.0,5.0,4.0,85.0,80.0,89.0,-5.0
5,Uttarakhand,2022,8074.0,11595.0,12.0,3.0,5.0,0.0,86.0,82.0,83.0,-4.0
5,Uttarakhand,2023,9790.0,13427.0,14.0,2.5,4.6,0.0,88.9,85.1,85.7,-3.8000000000000114
6,Haryana,2021,28627.0,45325.0,81.0,3.0,5.0,4.0,81.0,76.0,78.0,-5.0
6,Haryana,2022,25019.0,37986.0,31.0,3.0,5.0,3.0,81.0,77.0,74.0,-4.0
6,Haryana,2023,28272.0,41292.0,31.0,3.1,5.3,6.5,86.1,81.7,87.1,-4.3999999999999915
7,Delhi,2021,45548.0,51575.0,89.0,2.0,3.0,1.0,74.0,66.0,66.0,-8.0
7,Delhi,2022,35181.0,38153.0,56.0,2.0,3.0,4.0,75.0,69.0,63.0,-6.0
7,Delhi,2023,40945.0,41276.0,56.0,2.1,3.5,0.0,77.1,71.2,83.9,-5.8999999999999915
8,Rajasthan,2021,57748.0,116266.0,146.0,2.0,4.0,3.0,82.0,78.0,73.0,-4.0
8,Rajasthan,2022,45619.0,87795.0,46.0,2.0,4.0,2.0,85.0,81.0,87.0,-4.0
8,Rajasthan,2023,50998.0,96883.0,56.0,2.4,3.8,3.6,87.4,84.0,76.8,-3.4000000000000057
9,Uttar Pradesh,2021,198550.0,303051.0,450.0,3.0,5.0,4.0,84.0,80.0,80.0,-4.0
9,Uttar Pradesh,2022,150653.0,212835.0,176.0,3.0,5.0,3.0,86.0,82.0,78.0,-4.0
9,Uttar Pradesh,2023,190995.0,262277.0,214.0,2.6,4.4,2.3,88.1,84.9,86.9,-3.1999999999999886
10,Bihar,2021,44190.0,82188.0,122.0,2.0,3.0,1.0,76.0,74.0,77.0,-2.0
10,Bihar,2022,36546.0,63111.0,74.0,3.0,3.0,4.0,79.0,77.0,68.0,-2.0
10,Bihar,2023,51418.0,81920.0,57.0,3.2,4.0,0.0,83.2,81.1,70.2,-2.1000000000000085
11,Sikkim,2021,659.0,827.0,0.0,3.0,5.0,,78.0,79.0,,1.0
11,Sikkim,2022,497.0,642.0,0.0,3.0,5.0,,90.0,90.0,,0.0
11,Sikkim,2023,570.0,617.0,0.0,3.0,4.9,,89.6,86.7,,-2.8999999999999915
12,Arunachal Pradesh,2021,1387.0,1628.0,5.0,2.0,3.0,0.0,83.0,80.0,100.0,-3.0
12,Arunachal Pradesh,2022,1132.0,1288.0,4.0,2.0,4.0,0.0,84.0,82.0,100.0,-2.0
12,Arunachal Pradesh,2023,1237.0,1483.0,6.0,2.3,3.0,0.0,80.3,78.6,83.3,-1.7000000000000028
13,Nagaland,2021,1968.0,2836.0,6.0,2.0,3.0,0.0,84.0,81.0,100.0,-3.0
13,Nagaland,2022,1380.0,2134.0,4.0,3.0,3.0,25.0,81.0,81.0,50.0,0.0
13,Nagaland,2023,1393.0,2240.0,3.0,3.3,3.0,0.0,86.3,85.6,100.0,-0.7000000000000028
14,Manipur,2021,974.0,1703.0,3.0,3.0,3.0,0.0,68.0,68.0,67.0,0.0
14,Manipur,2022,555.0,1008.0,1.0,4.0,3.0,0.0,79.0,80.0,100.0,1.0
14,Manipur,2023,657.0,1156.0,2.0,2.7,4.8,0.0,79.5,79.4,100.0,-0.09999999999999432
15,Mizoram,2021,1324.0,1719.0,2.0,1.0,2.0,0.0,71.0,62.0,100.0,-9.0
15,Mizoram,2022,900.0,1088.0,0.0,3.0,2.0,,90.0,88.0,,-2.0
15,Mizoram,2023,701.0,969.0,0.0,3.1,5.2,,90.9,86.7,,-4.200000000000003
16,Tripura,2021,759.0,2280.0,0.0,5.0,6.0,,83.0,81.0,,-2.0
16,Tripura,2022,542.0,1593.0,2.0,7.0,8.0,0.0,85.0,80.0,100.0,-5.0
16,Tripura,2023,684.0,2045.0,0.0,6.3,6.1,,85.8,85.1,,-0.7000000000000028
17,Meghalaya,2021,2168.0,3130.0,5.0,4.0,5.0,0.0,80.0,76.0,20.0,-4.0
17,Meghalaya,2022,1606.0,2254.0,4.0,4.0,5.0,0.0,82.0,79.0,100.0,-3.0
17,Meghalaya,2023,1533.0,2380.0,3.0,3.3,5.5,0.0,88.2,82.6,100.0,-5.6000000000000085
18,Assam,2021,16119.0,32606.0,40.0,3.0,4.0,5.0,85.0,82.0,83.0,-3.0
18,Assam,2022,11352.0,23167.0,21.0,4.0,4.0,0.0,85.0,83.0,100.0,-2.0
18,Assam,2023,12494.0,25048.0,11.0,3.8,4.7,0.0,89.2,87.6,90.9,-1.6000000000000085
19,West Bengal,2021,36074.0,75518.0,71.0,4.0,6.0,3.0,82.0,80.0,80.0,-2.0
19,West Bengal,2022,25416.0,52038.0,23.0,5.0,6.0,9.0,85.0,84.0,83.0,-1.0
19,West Bengal,2023,29325.0,59930.0,22.0,4.3,6.2,0.0,84.3,82.9,81.8,-1.3999999999999915
20,Jharkhand,2021,17795.0,39679.0,56.0,2.0,3.0,2.0,76.0,76.0,75.0,0.0
20,Jharkhand,2022,14460.0,31191.0,9.0,3.0,4.0,0.0,85.0,83.0,89.0,-2.0
20,Jharkhand,2023,17097.0,35675.0,20.0,2.8,3.8,5.0,87.2,86.2,80.0,-1.0
21,Odisha,2021,17599.0,35390.0,63.0,4.0,6.0,5.0,89.0,86.0,87.0,-3.0
21,Odisha,2022,14766.0,30204.0,25.0,5.0,6.0,0.0,90.0,88.0,88.0,-2.0
21,Odisha,2023,17298.0,34472.0,18.0,4.6,6.3,11.1,91.1,89.0,83.3,-2.0999999999999943
22,Chhattisgarh,2021,14966.0,28473.0,41.0,3.0,4.0,10.0,86.0,83.0,85.0,-3.0
22,Chhattisgarh,2022,10593.0,18493.0,18.0,4.0,5.0,11.0,87.0,86.0,78.0,-1.0
22,Chhattisgarh,2023,11957.0,20210.0,17.0,4.3,6.6,0.0,88.4,84.4,100.0,-4.0
23,Madhya Pradesh,2021,67883.0,119228.0,185.0,2.0,4.0,3.0,82.0,76.0,79.0,-6.0
23,Madhya Pradesh,2022,50151.0,85532.0,76.0,3.0,4.0,1.0,83.0,78.0,80.0,-5.0
23,Madhya Pradesh,2023,63342.0,102694.0,62.0,2.7,4.8,4.8,87.6,83.0,80.6,-4.599999999999994
24,Gujarat,2021,54418.0,101713.0,92.0,4.0,5.0,2.0,87.0,83.0,80.0,-4.0
24,Gujarat,2022,41423.0,73866.0,56.0,3.0,5.0,2.0,90.0,87.0,89.0,-3.0
24,Gujarat,2023,49881.0,88146.0,40.0,3.5,5.8,15.0,91.1,87.4,80.0,-3.6999999999999886
27,Maharashtra,2021,96781.0,126223.0,203.0,3.0,5.0,3.0,81.0,79.0,76.0,-2.0
27,Maharashtra,2022,66324.0,81008.0,88.0,4.0,6.0,5.0,86.0,83.0,88.0,-3.0
27,Maharashtra,2023,84911.0,97556.0,83.0,3.2,5.2,7.2,88.2,85.6,79.5,-2.6000000000000085
28,Andhra Pradesh,2021,33167.0,66611.0,124.0,3.0,4.0,5.0,92.0,88.0,85.0,-4.0
28,Andhra Pradesh,2022,21862.0,41020.0,32.0,3.0,4.0,6.0,92.0,89.0,91.0,-3.0
