StateCode,StateName,Year,notification_achievement,notification_target,notification_achievement_rate
1,Jammu And Kashmir,2017,8793.0,14845.0,0.5923206466823846
1,Jammu And Kashmir,2018,11212.0,18957.0,0.5914437938492377
1,Jammu And Kashmir,2019,11337.0,17580.0,0.6448805460750853
1,Jammu And Kashmir,2020,8756.0,18000.0,0.48644444444444446
1,Jammu And Kashmir,2021,10766.0,14000.0,0.769
1,Jammu And Kashmir,2022,11243.0,14500.0,0.7753793103448275
1,Jammu And Kashmir,2023,11341.0,12500.0,0.90728
1,Jammu And Kashmir,2024,7402.0,12000.0,0.6168333333333333
1,Jammu And Kashmir,2025,4637.0,11200.0,0.41401785714285716
2,Himachal Pradesh,2017,14067.0,16556.0,0.8496617540468713
2,Himachal Pradesh,2018,16365.0,17839.0,0.9173720500028029
2,Himachal Pradesh,2019,17135.0,18000.0,0.9519444444444445
2,Himachal Pradesh,2020,13172.0,18000.0,0.7317777777777777
2,Himachal Pradesh,2021,14300.0,15000.0,0.9533333333333334
2,Himachal Pradesh,2022,16065.0,16500.0,0.9736363636363636
2,Himachal Pradesh,2023,15424.0,15550.0,0.9918971061093248
2,Himachal Pradesh,2024,10016.0,15000.0,0.6677333333333333
2,Himachal Pradesh,2025,5493.0,14500.0,0.37882758620689655
3,Punjab,2017,39615.0,57070.0,0.6941475381110916
3,Punjab,2018,50308.0,67813.0,0.7418636544615339
3,Punjab,2019,57392.0,65000.0,0.8829538461538462
3,Punjab,2020,45893.0,72000.0,0.6374027777777778
3,Punjab,2021,50494.0,72000.0,0.7013055555555555
3,Punjab,2022,54009.0,70000.0,0.7715571428571428
3,Punjab,2023,53489.0,70000.0,0.7641285714285714
3,Punjab,2024,33948.0,70000.0,0.48497142857142855
3,Punjab,2025,21630.0,68000.0,0.31808823529411767
4,Chandigarh,2017,3437.0,5864.0,0.586118690313779
4,Chandigarh,2018,4506.0,6671.0,0.6754609503822515
4,Chandigarh,2019,6267.0,6500.0,0.9641538461538461
4,Chandigarh,2020,3856.0,7500.0,0.5141333333333333
4,Chandigarh,2021,4626.0,0.0,
4,Chandigarh,2022,5740.0,7200.0,0.7972222222222223
4,Chandigarh,2023,6326.0,7200.0,0.8786111111111111
4,Chandigarh,2024,4097.0,7000.0,0.5852857142857143
4,Chandigarh,2025,2388.0,7000.0,0.34114285714285714
5,Uttarakhand,2017,16948.0,22243.0,0.7619475790136223
5,Uttarakhand,2018,20771.0,28511.0,0.7285258321349655
5,Uttarakhand,2019,25595.0,30000.0,0.8531666666666666
5,Uttarakhand,2020,19662.0,32000.0,0.6144375
5,Uttarakhand,2021,22624.0,32000.0,0.707
5,Uttarakhand,2022,27405.0,28000.0,0.97875
5,Uttarakhand,2023,26571.0,28000.0,0.9489642857142857
5,Uttarakhand,2024,17480.0,28000.0,0.6242857142857143
5,Uttarakhand,2025,9988.0,28000.0,0.3567142857142857
6,Haryana,2017,38462.0,61370.0,0.6267231546358155
6,Haryana,2018,59558.0,72197.0,0.8249373242655512
6,Haryana,2019,72433.0,85000.0,0.8521529411764706
6,Haryana,2020,62318.0,94000.0,0.6629574468085107
6,Haryana,2021,68232.0,94000.0,0.725872340425532
6,Haryana,2022,75178.0,94000.0,0.7997659574468086
6,Haryana,2023,79175.0,96000.0,0.8247395833333333
6,Haryana,2024,53514.0,95000.0,0.5633052631578948
6,Haryana,2025,31692.0,90000.0,0.35213333333333335
7,Delhi,2017,58952.0,90632.0,0.6504545855768382
7,Delhi,2018,78979.0,106747.0,0.7398709097211162
7,Delhi,2019,105747.0,110000.0,0.9613363636363637
7,Delhi,2020,84903.0,110000.0,0.7718454545454545
7,Delhi,2021,101224.0,110000.0,0.9202181818181818
7,Delhi,2022,105256.0,100000.0,1.05256
7,Delhi,2023,98509.0,110000.0,0.8955363636363637
7,Delhi,2024,62734.0,110000.0,0.5703090909090909
7,Delhi,2025,40483.0,115000.0,0.35202608695652177
8,Rajasthan,2017,93817.0,144999.0,0.6470182552983124
8,Rajasthan,2018,148379.0,181796.0,0.8161840744570837
8,Rajasthan,2019,171710.0,200000.0,0.85855
8,Rajasthan,2020,135427.0,225000.0,0.6018977777777778
8,Rajasthan,2021,146822.0,225000.0,0.6525422222222222
8,Rajasthan,2022,168296.0,180000.0,0.9349777777777778
8,Rajasthan,2023,163592.0,180000.0,0.9088444444444445
8,Rajasthan,2024,106018.0,170000.0,0.6236352941176471
8,Rajasthan,2025,57078.0,160000.0,0.3567375
9,Uttar Pradesh,2017,254166.0,430443.0,0.5904753939546002
9,Uttar Pradesh,2018,384502.0,592515.0,0.6489320945461297
9,Uttar Pradesh,2019,481041.0,575000.0,0.8365930434782609
9,Uttar Pradesh,2020,361916.0,600000.0,0.6031933333333334
9,Uttar Pradesh,2021,446632.0,600000.0,0.7443866666666666
9,Uttar Pradesh,2022,518139.0,550000.0,0.9420709090909091
9,Uttar Pradesh,2023,623207.0,550000.0,1.1331036363636364
9,Uttar Pradesh,2024,389119.0,650000.0,0.5986446153846153
9,Uttar Pradesh,2025,254362.0,675000.0,0.3768325925925926
10,Bihar,2017,76008.0,160313.0,0.4741224978635544
10,Bihar,2018,100696.0,199496.0,0.5047519749769419
10,Bihar,2019,121443.0,210000.0,0.5783
10,Bihar,2020,98509.0,190000.0,0.5184684210526316
10,Bihar,2021,130884.0,190000.0,0.6888631578947368
10,Bihar,2022,160206.0,200000.0,0.80103
10,Bihar,2023,185544.0,250000.0,0.742176
10,Bihar,2024,114660.0,250000.0,0.45864
10,Bihar,2025,75835.0,0.0,
11,Sikkim,2017,302.0,1959.0,0.15416028586013272
11,Sikkim,2018,386.0,2189.0,0.17633622658748288
11,Sikkim,2019,373.0,1550.0,0.24064516129032257
11,Sikkim,2020,594.0,1650.0,0.36
11,Sikkim,2021,1308.0,1650.0,0.7927272727272727
11,Sikkim,2022,1286.0,1500.0,0.8573333333333333
11,Sikkim,2023,1232.0,1400.0,0.88
11,Sikkim,2024,779.0,1300.0,0.5992307692307692
11,Sikkim,2025,396.0,1200.0,0.33
12,Arunachal Pradesh,2017,821.0,3751.0,0.21887496667555317
12,Arunachal Pradesh,2018,1363.0,4305.0,0.3166085946573751
12,Arunachal Pradesh,2019,1161.0,4050.0,0.2866666666666667
12,Arunachal Pradesh,2020,1319.0,3500.0,0.37685714285714284
12,Arunachal Pradesh,2021,2621.0,3500.0,0.7488571428571429
12,Arunachal Pradesh,2022,2709.0,3500.0,0.774
12,Arunachal Pradesh,2023,2370.0,3500.0,0.6771428571428572
12,Arunachal Pradesh,2024,1647.0,3500.0,0.4705714285714286
12,Arunachal Pradesh,2025,764.0,3000.0,0.25466666666666665
13,Nagaland,2017,938.0,3267.0,0.2871135598408326
13,Nagaland,2018,1935.0,3811.0,0.5077407504591971
13,Nagaland,2019,2255.0,4400.0,0.5125
13,Nagaland,2020,2224.0,5000.0,0.4448
13,Nagaland,2021,3619.0,5000.0,0.7238
13,Nagaland,2022,3933.0,5000.0,0.7866
13,Nagaland,2023,3878.0,5000.0,0.7756
13,Nagaland,2024,2233.0,5000.0,0.4466
13,Nagaland,2025,1312.0,5000.0,0.2624
14,Manipur,2017,703.0,3059.0,0.22981366459627328
14,Manipur,2018,976.0,3796.0,0.2571127502634352
14,Manipur,2019,1043.0,3500.0,0.298
14,Manipur,2020,935.0,3500.0,0.2671428571428571
14,Manipur,2021,1749.0,3500.0,0.4997142857142857
14,Manipur,2022,2360.0,3000.0,0.7866666666666666
14,Manipur,2023,2328.0,3500.0,0.6651428571428571
14,Manipur,2024,1398.0,3500.0,0.3994285714285714
14,Manipur,2025,876.0,3500.0,0.2502857142857143
15,Mizoram,2017,655.0,2957.0,0.22150828542441664
15,Mizoram,2018,1186.0,3600.0,0.32944444444444443
15,Mizoram,2019,1084.0,3250.0,0.33353846153846156
15,Mizoram,2020,1131.0,4000.0,0.28275
15,Mizoram,2021,1677.0,4000.0,0.41925
15,Mizoram,2022,1918.0,3000.0,0.6393333333333333
15,Mizoram,2023,2013.0,3000.0,0.671
15,Mizoram,2024,1355.0,3000.0,0.45166666666666666
15,Mizoram,2025,847.0,0.0,
16,Tripura,2017,457.0,4137.0,0.11046652163403432
16,Tripura,2018,584.0,5383.0,0.10848968976407208
16,Tripura,2019,738.0,3100.0,0.23806451612903226
16,Tripura,2020,897.0,3500.0,0.2562857142857143
16,Tripura,2021,2463.0,3500.0,0.7037142857142857
16,Tripura,2022,2745.0,3500.0,0.7842857142857143
16,Tripura,2023,3069.0,3200.0,0.9590625
16,Tripura,2024,1929.0,3000.0,0.643
16,Tripura,2025,1299.0,3487.0,0.3725265271006596
17,Meghalaya,2017,3364.0,5927.0,0.5675721275518812
17,Meghalaya,2018,4552.0,7005.0,0.6498215560314061
17,Meghalaya,2019,5329.0,5700.0,0.9349122807017544
17,Meghalaya,2020,4040.0,6000.0,0.6733333333333333
17,Meghalaya,2021,4048.0,6000.0,0.6746666666666666
17,Meghalaya,2022,4877.0,6000.0,0.8128333333333333
17,Meghalaya,2023,4821.0,5700.0,0.8457894736842105
17,Meghalaya,2024,2617.0,5500.0,0.4758181818181818
17,Meghalaya,2025,1548.0,0.0,
18,Assam,2017,36705.0,56699.0,0.6473659147427644
18,Assam,2018,40872.0,67436.0,0.6060857702117564
18,Assam,2019,48029.0,50000.0,0.96058
