StateCode,StateName,Year,success_rate_private,ltfu_rate_private,death_rate_private
1,Jammu and Kashmir,2017,11.0,,0.0
1,Jammu and Kashmir,2018,65.0,1.0,0.0
1,Jammu and Kashmir,2019,84.0,0.7,1.3
1,Jammu and Kashmir,2020,82.0,1.7,2.5
1,Jammu and Kashmir,2021,91.7,1.6,3.2
1,Jammu and Kashmir,2022,91.5,1.1,1.8
2,Himachal Pradesh,2017,56.0,,1.0
2,Himachal Pradesh,2018,82.0,2.0,3.0
2,Himachal Pradesh,2019,87.0,2.3,5.0
2,Himachal Pradesh,2020,80.0,3.8,4.8
2,Himachal Pradesh,2021,84.2,2.0,4.5
2,Himachal Pradesh,2022,81.0,2.4,3.0
3,Punjab,2017,18.0,,0.0
3,Punjab,2018,74.0,6.0,4.0
3,Punjab,2019,80.0,1.7,6.7
3,Punjab,2020,78.0,1.1,7.1
3,Punjab,2021,86.8,1.5,5.7
3,Punjab,2022,85.1,0.8,6.4
4,Chandigarh,2017,5.0,,1.0
4,Chandigarh,2018,78.0,1.0,6.0
4,Chandigarh,2019,67.0,5.7,2.3
4,Chandigarh,2020,64.0,2.4,4.9
4,Chandigarh,2021,56.3,1.9,1.0
4,Chandigarh,2022,47.9,4.2,2.8
5,Uttarakhand,2017,88.0,,0.0
5,Uttarakhand,2018,90.0,5.0,1.0
5,Uttarakhand,2019,82.0,5.7,2.0
5,Uttarakhand,2020,78.0,4.6,3.3
5,Uttarakhand,2021,90.0,2.3,1.8
5,Uttarakhand,2022,86.4,1.9,1.6
6,Haryana,2017,53.0,,1.0
6,Haryana,2018,72.0,7.0,2.0
6,Haryana,2019,70.0,8.1,3.2
6,Haryana,2020,75.0,5.6,4.0
6,Haryana,2021,83.9,2.8,3.9
6,Haryana,2022,86.5,2.2,2.6
7,Delhi,2017,0.0,,0.0
7,Delhi,2018,38.0,8.0,2.0
7,Delhi,2019,56.0,4.8,3.3
7,Delhi,2020,63.0,4.7,3.7
7,Delhi,2021,60.1,6.7,3.7
7,Delhi,2022,50.5,6.7,2.1
8,Rajasthan,2017,38.0,,0.0
8,Rajasthan,2018,64.0,6.0,1.0
8,Rajasthan,2019,77.0,5.8,1.7
8,Rajasthan,2020,83.0,6.6,3.2
8,Rajasthan,2021,86.7,5.1,2.6
8,Rajasthan,2022,91.0,3.2,1.3
9,Uttar Pradesh,2017,7.0,,0.0
9,Uttar Pradesh,2018,65.0,8.0,2.0
9,Uttar Pradesh,2019,83.0,5.0,4.4
9,Uttar Pradesh,2020,85.0,3.6,4.9
9,Uttar Pradesh,2021,88.0,3.2,3.5
9,Uttar Pradesh,2022,92.6,1.4,2.0
10,Bihar,2017,28.0,,2.0
10,Bihar,2018,62.0,5.0,2.0
10,Bihar,2019,77.0,2.8,2.4
10,Bihar,2020,82.0,3.5,4.3
10,Bihar,2021,87.0,3.6,4.5
10,Bihar,2022,88.3,5.4,4.0
11,Sikkim,2017,0.0,,0.0
11,Sikkim,2018,48.0,0.0,4.0
11,Sikkim,2019,88.0,0.0,0.0
11,Sikkim,2020,89.0,0.0,2.7
11,Sikkim,2021,94.0,3.6,2.4
11,Sikkim,2022,94.7,0.0,3.5
12,Arunachal Pradesh,2017,0.0,,0.0
12,Arunachal Pradesh,2018,50.0,0.0,0.0
12,Arunachal Pradesh,2019,41.0,4.3,0.0
12,Arunachal Pradesh,2020,25.0,0.0,0.0
12,Arunachal Pradesh,2022,33.3,16.7,0.0
13,Nagaland,2018,37.0,4.0,3.0
13,Nagaland,2019,74.0,4.5,3.7
13,Nagaland,2020,81.0,3.7,2.5
13,Nagaland,2021,85.4,4.1,5.2
13,Nagaland,2022,88.4,4.5,0.5
