StateCode,StateName,Year,success_rate,ltfu_rate,death_rate,failure_rate,tb_patients_notified
1,Jammu And Kashmir,2018,82.0,2.0,2.0,1.0,11629.928365983
1,Jammu And Kashmir,2019,85.0,1.4,2.6,0.5,11345.0
1,Jammu And Kashmir,2020,83.0,1.4,3.5,0.6,8800.0
1,Jammu And Kashmir,2021,86.1,1.6,3.8,0.7,10909.0
1,Jammu And Kashmir,2022,86.5,1.2,3.7,0.3,11802.0
2,Himachal Pradesh,2018,89.0,2.0,4.0,0.0,16595.0
2,Himachal Pradesh,2019,90.0,1.5,4.8,0.3,17368.0
2,Himachal Pradesh,2020,88.0,1.1,5.4,0.4,13299.0
2,Himachal Pradesh,2021,87.6,1.0,6.1,0.5,14532.0
2,Himachal Pradesh,2022,86.7,1.5,5.7,0.3,16168.0
3,Punjab,2018,83.0,4.0,5.0,1.0,52217.0
3,Punjab,2019,81.0,2.8,4.9,0.5,58178.0
3,Punjab,2020,80.0,2.5,5.7,0.4,46491.0
3,Punjab,2021,84.4,2.5,5.0,0.6,52253.0
3,Punjab,2022,83.9,2.5,4.6,0.4,57373.0
4,Chandigarh,2018,88.0,3.0,3.0,1.0,3222.0
4,Chandigarh,2019,83.0,4.1,3.3,0.7,3454.0
4,Chandigarh,2020,81.0,3.7,4.6,0.5,2829.0
4,Chandigarh,2021,84.1,3.1,3.7,1.0,3145.0
4,Chandigarh,2022,83.2,3.0,4.0,0.8,3687.0
5,Uttarakhand,2018,85.0,4.0,3.0,1.0,20561.0
5,Uttarakhand,2019,84.0,3.8,3.6,0.5,24504.0
5,Uttarakhand,2020,83.0,3.1,3.8,0.5,19681.0
5,Uttarakhand,2021,86.7,2.4,3.7,0.7,23231.0
5,Uttarakhand,2022,87.5,2.3,3.4,0.7,26875.0
6,Haryana,2018,82.0,4.0,4.0,1.0,61983.0
6,Haryana,2019,79.0,4.1,3.9,0.7,72370.0
6,Haryana,2020,79.0,3.2,4.2,0.6,63036.0
6,Haryana,2021,83.5,2.1,4.4,0.6,69595.0
6,Haryana,2022,86.6,1.5,3.9,0.6,76051.0
7,Delhi,2018,72.0,5.0,2.0,1.0,71928.0
7,Delhi,2019,71.0,4.6,2.3,0.5,93819.0
7,Delhi,2020,72.0,4.7,2.7,0.5,73390.0
7,Delhi,2021,74.1,5.2,2.8,0.7,82277.0
7,Delhi,2022,75.9,4.7,2.3,0.6,85017.0
8,Rajasthan,2018,77.0,4.0,3.0,1.0,152547.0
8,Rajasthan,2019,80.0,4.0,2.8,0.6,169311.0
8,Rajasthan,2020,82.0,4.0,3.5,0.6,133460.0
8,Rajasthan,2021,85.2,3.4,3.3,0.5,147937.0
8,Rajasthan,2022,88.7,2.4,2.7,0.6,166554.0
9,Uttar Pradesh,2018,79.0,5.0,3.0,1.0,406312.0
9,Uttar Pradesh,2019,83.0,4.4,3.8,0.7,486310.0
9,Uttar Pradesh,2020,84.0,3.3,4.1,0.6,363664.0
9,Uttar Pradesh,2021,86.3,2.5,3.6,0.5,453494.0
9,Uttar Pradesh,2022,89.5,1.4,2.9,0.4,523101.0
10,Bihar,2018,74.0,5.0,2.0,1.0,106189.0
10,Bihar,2019,76.0,3.4,2.4,0.5,123027.0
10,Bihar,2020,78.0,3.8,3.4,0.5,99731.0
10,Bihar,2021,81.9,3.9,3.7,0.5,133418.0
10,Bihar,2022,83.9,4.5,3.2,0.5,163263.0
11,Sikkim,2018,85.0,0.0,2.0,0.0,1340.0
11,Sikkim,2019,89.0,0.8,3.7,0.7,1229.0
11,Sikkim,2020,90.0,0.8,4.0,0.1,1139.0
11,Sikkim,2021,88.1,1.5,4.0,0.2,1187.0
11,Sikkim,2022,90.9,0.5,3.5,0.3,1232.0
12,Arunachal Pradesh,2018,82.0,6.0,2.0,2.0,2900.0
12,Arunachal Pradesh,2019,82.0,7.1,2.2,1.2,2864.0
12,Arunachal Pradesh,2020,83.0,5.1,3.2,0.9,2424.0
12,Arunachal Pradesh,2021,79.3,6.6,2.7,0.7,2726.0
12,Arunachal Pradesh,2022,82.4,7.5,2.2,0.8,2859.0
13,Nagaland,2018,79.0,4.0,2.0,0.0,4322.0
13,Nagaland,2019,83.0,3.5,2.3,0.6,4693.0
13,Nagaland,2020,81.0,2.6,2.8,0.7,3518.0
13,Nagaland,2021,85.9,2.9,3.1,1.1,3636.0
13,Nagaland,2022,87.9,4.7,2.3,0.7,4142.0
14,Manipur,2018,80.0,3.0,3.0,0.0,2862.0
14,Manipur,2019,69.0,2.9,2.8,0.2,2623.0
14,Manipur,2020,80.0,2.7,3.5,0.4,1564.0
14,Manipur,2021,79.4,3.4,4.0,0.5,1815.0
14,Manipur,2022,71.6,4.2,3.3,0.3,2584.0
15,Mizoram,2018,88.0,2.0,2.0,1.0,2576.0
15,Mizoram,2019,67.0,1.4,1.6,0.3,2930.0
15,Mizoram,2020,89.0,1.6,2.5,0.3,1988.0
15,Mizoram,2021,88.4,2.0,4.3,1.0,1670.0
15,Mizoram,2022,87.5,1.9,4.3,0.5,1993.0
16,Tripura,2018,87.0,2.0,5.0,1.0,2702.0
16,Tripura,2019,83.0,2.9,5.9,0.6,2936.0
16,Tripura,2020,81.0,2.3,7.4,0.4,2137.0
16,Tripura,2021,85.3,2.1,6.1,0.4,2729.0
16,Tripura,2022,86.8,2.4,5.6,0.4,3266.0
17,Meghalaya,2018,76.0,3.0,3.0,1.0,4459.0
17,Meghalaya,2019,80.0,3.1,3.7,0.7,4963.0
17,Meghalaya,2020,80.0,3.8,4.8,0.7,3864.0
17,Meghalaya,2021,84.8,2.1,4.6,0.5,3916.0
17,Meghalaya,2022,83.2,3.0,4.2,0.5,4639.0
18,Assam,2018,83.0,4.0,4.0,1.0,41676.0
18,Assam,2019,83.0,2.5,3.9,0.4,47779.0
