StateCode,StateName,Year,presumptive_cases_examined,presumptive_examination_rate,population
1,Jammu and Kashmir,2018,123747.7196991035,883.0,140.2232200609
1,Jammu and Kashmir,2019,123313.4313732417,864.0,142.8065215672
1,Jammu and Kashmir,2020,138609.0,956.0,145.0
1,Jammu and Kashmir,2021,195228.0,1323.0,148.0
1,Jammu and Kashmir,2022,318019.0,2206.0,144.16
1,Jammu and Kashmir,2023,73496.0,376746.0,151.44
2,Himachal Pradesh,2018,134250.0,1825.0,73.5516
2,Himachal Pradesh,2019,227689.0,3066.0,74.3
2,Himachal Pradesh,2020,131376.0,1752.0,75.0
2,Himachal Pradesh,2021,156389.0,2066.0,76.0
2,Himachal Pradesh,2022,303182.0,3968.0,76.41
2,Himachal Pradesh,2023,130702.0,361069.0,77.14
3,Punjab,2018,243841.0,813.0,300.06214
3,Punjab,2019,229396.0,774.0,296.3
3,Punjab,2020,145058.0,473.0,306.7
3,Punjab,2021,139308.0,449.0,310.0
3,Punjab,2022,229114.0,753.0,304.32
3,Punjab,2023,69411.0,320915.0,305.76
4,Chandigarh,2018,29110.0,2538.0,11.46798
4,Chandigarh,2019,30157.0,2600.0,11.6
4,Chandigarh,2020,15975.0,1362.0,11.7
4,Chandigarh,2021,14394.0,1213.0,12.0
4,Chandigarh,2022,27923.0,2312.0,12.08
4,Chandigarh,2023,29168.0,43159.0,12.08
5,Uttarakhand,2018,94269.0,835.0,112.94981
5,Uttarakhand,2019,107817.0,941.0,114.7
5,Uttarakhand,2020,60519.0,520.0,116.3
5,Uttarakhand,2021,78842.0,668.0,118.0
5,Uttarakhand,2022,105841.0,884.0,119.72
5,Uttarakhand,2023,36234.0,205919.0,121.46
6,Haryana,2018,278984.0,975.0,286.02354
6,Haryana,2019,302700.0,1045.0,289.7
6,Haryana,2020,203701.0,692.0,294.4
6,Haryana,2021,220294.0,737.0,299.0
6,Haryana,2022,296823.0,977.0,303.77
6,Haryana,2023,114968.0,507067.0,308.57
7,Delhi,2018,252050.0,1360.0,185.34932
7,Delhi,2019,255654.0,1361.0,187.9
7,Delhi,2020,152237.0,799.0,190.5
7,Delhi,2021,133570.0,692.0,193.0
7,Delhi,2022,208551.0,1066.0,195.59
7,Delhi,2023,86203.0,244804.0,198.21
8,Rajasthan,2018,593127.0,766.0,774.00659
8,Rajasthan,2019,654373.0,832.0,786.6
8,Rajasthan,2020,408745.0,511.0,799.2
8,Rajasthan,2021,492729.0,607.0,812.0
8,Rajasthan,2022,1146844.0,1416.0,809.78
8,Rajasthan,2023,208686.0,1542260.0,810.25
9,Uttar Pradesh,2018,2064161.0,917.0,2251.16729
9,Uttar Pradesh,2019,1981992.0,866.0,2287.8
9,Uttar Pradesh,2020,1121359.0,482.0,2324.3
9,Uttar Pradesh,2021,1169076.0,495.0,2361.0
9,Uttar Pradesh,2022,1920614.0,801.0,2398.03
9,Uttar Pradesh,2023,445422.0,3062128.0,2433.27
10,Bihar,2018,503849.0,420.0,1200.92
10,Bihar,2019,536298.0,438.0,1224.3
10,Bihar,2020,249311.0,200.0,1247.6
10,Bihar,2021,380833.0,300.0,1271.0
10,Bihar,2022,385310.0,298.0,1294.71
10,Bihar,2023,123779.0,474271.0,1318.93
11,Sikkim,2018,10535.0,1621.0,6.49841
11,Sikkim,2019,14455.0,2190.0,6.6
11,Sikkim,2020,10563.0,1611.0,6.6
11,Sikkim,2021,12918.0,1952.0,7.0
11,Sikkim,2022,16763.0,2510.0,6.68
11,Sikkim,2023,10553.0,15772.0,6.74
12,Arunachal Pradesh,2018,13575.0,858.0,15.81877
12,Arunachal Pradesh,2019,15174.0,937.0,16.2
12,Arunachal Pradesh,2020,10003.0,610.0,16.4
12,Arunachal Pradesh,2021,17301.0,1038.0,17.0
12,Arunachal Pradesh,2022,23301.0,1374.0,16.96
12,Arunachal Pradesh,2023,11763.0,21834.0,25.83
13,Nagaland,2018,14128.0,689.0,20.5022
13,Nagaland,2019,18129.0,876.0,20.7
13,Nagaland,2020,11207.0,541.0,20.7
13,Nagaland,2021,15838.0,761.0,21.0
13,Nagaland,2022,23964.0,1147.0,20.9
13,Nagaland,2023,9292.0,21537.0,21.0
14,Manipur,2018,18206.0,600.0,30.34285
14,Manipur,2019,15540.0,505.0,30.8
14,Manipur,2020,5957.0,191.0,31.2
14,Manipur,2021,13648.0,431.0,32.0
14,Manipur,2022,17923.0,506.0,35.43
14,Manipur,2023,8759.0,14309.0,35.94
15,Mizoram,2018,13589.0,1111.0,12.23413
15,Mizoram,2019,15181.0,1214.0,12.5
15,Mizoram,2020,10623.0,842.0,12.6
15,Mizoram,2021,7679.0,600.0,13.0
15,Mizoram,2022,15715.0,1209.0,13.0
15,Mizoram,2023,9562.0,24082.0,13.19
16,Tripura,2018,25988.0,668.0,38.93295
16,Tripura,2019,45827.0,1166.0,39.3
16,Tripura,2020,23137.0,585.0,39.6
16,Tripura,2021,23536.0,590.0,40.0
16,Tripura,2022,54632.0,1359.0,40.21
16,Tripura,2023,15048.0,134792.0,40.53
17,Meghalaya,2018,33392.0,953.0,35.05055
17,Meghalaya,2019,34747.0,968.0,35.9
17,Meghalaya,2020,21445.0,586.0,36.6
17,Meghalaya,2021,23821.0,637.0,37.0
17,Meghalaya,2022,51351.0,1350.0,38.05
17,Meghalaya,2023,43472.0,53765.0,38.93
18,Assam,2018,185660.0,543.0,341.83941
18,Assam,2019,207598.0,600.0,346.2
18,Assam,2020,124025.0,354.0,350.5
18,Assam,2021,126078.0,355.0,355.0
18,Assam,2022,284171.0,791.0,359.12
18,Assam,2023,83854.0,644558.0,363.54
19,West Bengal,2018,1026585.0,1047.0,980.05985
19,West Bengal,2019,1362090.0,1376.0,989.6
19,West Bengal,2020,914137.0,915.0,999.1
19,West Bengal,2021,955286.0,947.0,1009.0
19,West Bengal,2022,1387242.0,1367.0,1014.61
19,West Bengal,2023,231609.0,1798664.0,1024.25
20,Jharkhand,2018,239576.0,630.0,380.3101
20,Jharkhand,2019,263871.0,681.0,387.6
20,Jharkhand,2020,189759.0,481.0,394.8
20,Jharkhand,2021,202556.0,504.0,402.0
20,Jharkhand,2022,367853.0,898.0,409.47
20,Jharkhand,2023,102525.0,516623.0,417.01
21,Odisha,2018,343587.0,758.0,453.49185
21,Odisha,2019,414215.0,904.0,458.4
21,Odisha,2020,585578.0,1264.0,463.2
