StateCode,StateName,Year,tb_tobacco_users_identified,tb_tobacco_pct
1,Jammu And Kashmir,2020,0.0,
1,Jammu And Kashmir,2021,603.0,8.0
1,Jammu And Kashmir,2022,600.0,6.0
1,Jammu And Kashmir,2023,793.0,6.1
1,Jammu And Kashmir,2024,756.0,5.55
2,Himachal Pradesh,2020,0.0,
2,Himachal Pradesh,2021,1885.0,12.5
2,Himachal Pradesh,2022,1998.0,11.0
2,Himachal Pradesh,2023,1877.0,8.45
2,Himachal Pradesh,2024,1792.0,7.3999999999999995
3,Punjab,2020,0.0,
3,Punjab,2021,1811.0,3.5
3,Punjab,2022,1535.0,3.0
3,Punjab,2023,1778.0,2.6500000000000004
3,Punjab,2024,1968.0,2.95
4,Chandigarh,2020,0.0,
4,Chandigarh,2021,223.0,7.5
4,Chandigarh,2022,169.0,3.0
4,Chandigarh,2023,307.0,6.5
4,Chandigarh,2024,252.0,6.199999999999999
5,Uttarakhand,2020,0.0,
5,Uttarakhand,2021,1129.0,12.5
5,Uttarakhand,2022,1550.0,8.0
5,Uttarakhand,2023,2677.0,7.95
5,Uttarakhand,2024,3039.0,10.45
6,Haryana,2020,0.0,
6,Haryana,2021,2836.0,5.5
6,Haryana,2022,2658.0,4.0
6,Haryana,2023,3058.0,4.05
6,Haryana,2024,2697.0,3.0999999999999996
7,Delhi,2020,0.0,
7,Delhi,2021,2832.0,5.5
7,Delhi,2022,2970.0,5.0
7,Delhi,2023,3456.0,3.8000000000000003
7,Delhi,2024,3640.0,3.85
8,Rajasthan,2020,0.0,
8,Rajasthan,2021,8495.0,8.0
8,Rajasthan,2022,9616.0,8.5
8,Rajasthan,2023,10641.0,7.0
8,Rajasthan,2024,8422.0,5.75
9,Uttar Pradesh,2020,0.0,
9,Uttar Pradesh,2021,21217.0,11.0
9,Uttar Pradesh,2022,27997.0,9.5
9,Uttar Pradesh,2023,30997.0,6.3
9,Uttar Pradesh,2024,34564.0,6.3500000000000005
10,Bihar,2020,0.0,
10,Bihar,2021,6023.0,12.5
10,Bihar,2022,7401.0,10.0
