StateCode,StateName,Year,tribal_tb_notification_pct,tribal_tb_treatment_initiation_pct,n_tribal_districts
1,Jammu And Kashmir,2020,,,
1,Jammu And Kashmir,2021,,,3.0
1,Jammu And Kashmir,2022,,,1.0
1,Jammu And Kashmir,2023,,,1.0
1,Jammu And Kashmir,2024,56.3,95.1,1.0
2,Himachal Pradesh,2020,,,
2,Himachal Pradesh,2021,,,3.0
2,Himachal Pradesh,2022,,,3.0
2,Himachal Pradesh,2023,,,3.0
2,Himachal Pradesh,2024,100.0,98.2,3.0
3,Punjab,2020,,,
3,Punjab,2022,,,1.0
3,Punjab,2023,,,1.0
3,Punjab,2024,76.3,0.0,1.0
4,Chandigarh,2020,,,
4,Chandigarh,2022,,,
4,Chandigarh,2023,,,0.0
4,Chandigarh,2024,,,0.0
5,Uttarakhand,2020,,,
5,Uttarakhand,2022,,,1.0
5,Uttarakhand,2023,,,0.0
5,Uttarakhand,2024,,,0.0
6,Haryana,2020,,,
6,Haryana,2022,,,
6,Haryana,2023,,,0.0
6,Haryana,2024,,,0.0
7,Delhi,2020,,,
7,Delhi,2022,,,
7,Delhi,2023,,,0.0
7,Delhi,2024,,,0.0
8,Rajasthan,2020,,,
8,Rajasthan,2021,,,8.0
8,Rajasthan,2022,,,8.0
8,Rajasthan,2023,,,8.0
8,Rajasthan,2024,83.7,93.5,9.0
9,Uttar Pradesh,2020,,,
9,Uttar Pradesh,2021,,,4.0
9,Uttar Pradesh,2022,,,
9,Uttar Pradesh,2023,,,4.0
9,Uttar Pradesh,2024,90.7,97.9,3.0
10,Bihar,2020,,,
10,Bihar,2022,,,
10,Bihar,2023,,,0.0
10,Bihar,2024,,,0.0
11,Sikkim,2020,,,
11,Sikkim,2021,,,1.0
11,Sikkim,2022,,,1.0
11,Sikkim,2023,,,0.0
11,Sikkim,2024,,,0.0
12,Arunachal Pradesh,2020,,,
12,Arunachal Pradesh,2021,,,14.0
12,Arunachal Pradesh,2022,,,14.0
12,Arunachal Pradesh,2023,,,15.0
12,Arunachal Pradesh,2024,86.7,94.9,15.0
13,Nagaland,2020,,,
13,Nagaland,2021,,,11.0
13,Nagaland,2022,,,11.0
13,Nagaland,2023,,,11.0
13,Nagaland,2024,81.8,98.3,11.0
14,Manipur,2020,,,
14,Manipur,2021,,,6.0
14,Manipur,2022,,,6.0
14,Manipur,2023,,,6.0
14,Manipur,2024,87.6,95.6,7.0
15,Mizoram,2020,,,
15,Mizoram,2021,,,8.0
15,Mizoram,2022,,,8.0
15,Mizoram,2023,,,8.0
15,Mizoram,2024,81.3,97.0,8.0
16,Tripura,2020,,,
