Country,StateName,StateCode,Year,GENDER,I1227_4_sum,I1227_4_avg,I1227_5_sum,I1227_5_avg,I1227_6_sum,I1227_6_avg,I1227_7_sum,I1227_7_avg,I1227_8_sum,I1227_8_avg
India,Mizoram,15,"Calendar Year (Jan - Dec), 2023",TransGender,0,0.0,,,,,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022",Male,5162,5162.0,4251.0,4251.0,196.0,196.0,82.0,82.0,4.0,4.0
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2023",TransGender,0,0.0,,,,,,,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2023",TransGender,0,0.0,,,,,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2021",Male,11243,11243.0,9898.0,9898.0,638.0,638.0,88.0,88.0,6.0,6.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2023",Male,8970,8970.0,7753.0,7753.0,630.0,630.0,86.4,86.4,7.0,7.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2021",Male,827,827.0,650.0,650.0,43.0,43.0,79.0,79.0,5.0,5.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2021",TransGender,0,0.0,0.0,0.0,,,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021",Female,4739,4739.0,4107.0,4107.0,111.0,111.0,87.0,87.0,2.0,2.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021",Male,6743,6743.0,5628.0,5628.0,197.0,197.0,83.0,83.0,3.0,3.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021",TransGender,25,25.0,22.0,22.0,0.0,0.0,88.0,88.0,0.0,0.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022",Female,3634,3634.0,3036.0,3036.0,113.0,113.0,84.0,84.0,3.0,3.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022",TransGender,4,4.0,3.0,3.0,0.0,0.0,75.0,75.0,0.0,0.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2023",Female,4556,4556.0,4019.0,4019.0,143.0,143.0,88.2,88.2,3.1,3.1
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2023",Male,6349,6349.0,5370.0,5370.0,274.0,274.0,84.6,84.6,4.3,4.3
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2023",TransGender,4,4.0,4.0,4.0,0.0,0.0,100.0,100.0,0.0,0.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2021",Female,6647,6647.0,6040.0,6040.0,241.0,241.0,91.0,91.0,4.0,4.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2021",TransGender,21,21.0,16.0,16.0,1.0,1.0,76.0,76.0,5.0,5.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2022",Female,5082,5082.0,4567.0,4567.0,185.0,185.0,90.0,90.0,4.0,4.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2022",Male,8210,8210.0,7070.0,7070.0,538.0,538.0,86.0,86.0,7.0,7.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2022",TransGender,7,7.0,6.0,6.0,0.0,0.0,86.0,86.0,0.0,0.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2023",Female,5559,5559.0,4976.0,4976.0,261.0,261.0,89.5,89.5,4.7,4.7
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2023",TransGender,3,3.0,2.0,2.0,0.0,0.0,66.7,66.7,0.0,0.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2021",Female,24979,24979.0,20575.0,20575.0,1014.0,1014.0,82.0,82.0,4.0,4.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2021",Male,34342,34342.0,26954.0,26954.0,1928.0,1928.0,78.0,78.0,6.0,6.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2021",TransGender,78,78.0,58.0,58.0,3.0,3.0,74.0,74.0,4.0,4.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2022",Female,19811,19811.0,16224.0,16224.0,892.0,892.0,82.0,82.0,5.0,5.0
