Country,StateName,StateCode,Year,D2660_6,Number_of_sub_centres_sum,Number_of_sub_centres_avg,Number_of_Primary_Health_Centres_PHC_sum,Number_of_Primary_Health_Centres_PHC_avg,Number_of_Community_Health_Centres_CHC_sum,Number_of_Community_Health_Centres_CHC_avg
India,Chandigarh,4,"Financial Year (Apr - Mar), 2020",State / UT has no separate Tribal Area / Population,,,,,,
India,Chandigarh,4,"Financial Year (Apr - Mar), 2021",State / UT has no separate Tribal Area / Population,,,,,,
India,Jammu and Kashmir,1,"Financial Year (Apr - Mar), 2019",,227.0,227.0,35.0,35.0,4.0,4.0
India,Jammu and Kashmir,1,"Financial Year (Apr - Mar), 2020",,189.0,189.0,66.0,66.0,2.0,2.0
India,Jammu and Kashmir,1,"Financial Year (Apr - Mar), 2021",,169.0,169.0,60.0,60.0,2.0,2.0
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2019",,105.0,105.0,47.0,47.0,8.0,8.0
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2020",,106.0,106.0,45.0,45.0,8.0,8.0
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2021",,106.0,106.0,45.0,45.0,8.0,8.0
India,Punjab,3,"Financial Year (Apr - Mar), 2019",State / UT has no separate Tribal Area / Population,,,,,,
India,Punjab,3,"Financial Year (Apr - Mar), 2020",State / UT has no separate Tribal Area / Population,,,,,,
India,Punjab,3,"Financial Year (Apr - Mar), 2021",State / UT has no separate Tribal Area / Population,,,,,,
India,Chandigarh,4,"Financial Year (Apr - Mar), 2019",State / UT has no separate Tribal Area / Population,,,,,,
India,Uttarakhand,5,"Financial Year (Apr - Mar), 2019",,146.0,146.0,7.0,7.0,5.0,5.0
India,Uttarakhand,5,"Financial Year (Apr - Mar), 2020",,145.0,145.0,7.0,7.0,5.0,5.0
India,Uttarakhand,5,"Financial Year (Apr - Mar), 2021",,121.0,121.0,13.0,13.0,2.0,2.0
India,Haryana,6,"Financial Year (Apr - Mar), 2019",State / UT has no separate Tribal Area / Population,,,,,,
India,Haryana,6,"Financial Year (Apr - Mar), 2020",State / UT has no separate Tribal Area / Population,,,,,,
India,Haryana,6,"Financial Year (Apr - Mar), 2021",State / UT has no separate Tribal Area / Population,,,,,,
India,Delhi,7,"Financial Year (Apr - Mar), 2019",State / UT has no separate Tribal Area / Population,,,,,,
India,Delhi,7,"Financial Year (Apr - Mar), 2020",State / UT has no separate Tribal Area / Population,,,,,,
India,Delhi,7,"Financial Year (Apr - Mar), 2021",State / UT has no separate Tribal Area / Population,,,,,,
India,Rajasthan,8,"Financial Year (Apr - Mar), 2019",,2970.0,2970.0,197.0,197.0,65.0,65.0
India,Rajasthan,8,"Financial Year (Apr - Mar), 2020",,1539.0,1539.0,202.0,202.0,68.0,68.0
India,Rajasthan,8,"Financial Year (Apr - Mar), 2021",,1557.0,1557.0,243.0,243.0,70.0,70.0
India,Uttar Pradesh,9,"Financial Year (Apr - Mar), 2019",State / UT has no separate Tribal Area / Population,,,,,,
India,Uttar Pradesh,9,"Financial Year (Apr - Mar), 2020",State / UT has no separate Tribal Area / Population,,,,,,
India,Uttar Pradesh,9,"Financial Year (Apr - Mar), 2021",State / UT has no separate Tribal Area / Population,,,,,,
India,Bihar,10,"Financial Year (Apr - Mar), 2019",,232.0,232.0,33.0,33.0,0.0,0.0
India,Bihar,10,"Financial Year (Apr - Mar), 2020",State / UT has no separate Tribal Area / Population,,,,,,
