Country,StateName,StateCode,Year,TRU,D7298_3,D7298_4,Average_out_of_pocket_medical_expenditure_per_hospitalisation_case_for_treatment_during_stay_at_hospital_sum,Average_out_of_pocket_medical_expenditure_per_hospitalisation_case_for_treatment_during_stay_at_hospital_avg,Estimated_number_of_hospitalisation_cases_sum,Estimated_number_of_hospitalisation_cases_avg,Sample_number_of_hospitalisation_cases_sum,Sample_number_of_hospitalisation_cases_avg
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Charitable/NGO/trust run,18919.0,18919.0,1712.1372509402,1712.1372509402,1009.8972718039,1009.8972718039
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Govt./Public,4225.0,4225.0,1712.1372509402,1712.1372509402,1009.8972718039,1009.8972718039
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Private,44710.0,44710.0,1712.1372509402,1712.1372509402,1009.8972718039,1009.8972718039
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Female,all (incl.n.r),5661.0,5661.0,1712.1372509402,1712.1372509402,1009.8972718039,1009.8972718039
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Charitable/NGO/trust run,3524.0,3524.0,1712.1372509402,1712.1372509402,1009.8972718039,1009.8972718039
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Govt./Public,5333.0,5333.0,1712.1372509402,1712.1372509402,1009.8972718039,1009.8972718039
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Private,56092.0,56092.0,1712.1372509402,1712.1372509402,1009.8972718039,1009.8972718039
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Male,all (incl.n.r),7247.0,7247.0,1712.1372509402,1712.1372509402,1009.8972718039,1009.8972718039
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Charitable/NGO/trust run,7691.0,7691.0,1712.1372509402,1712.1372509402,1009.8972718039,1009.8972718039
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Govt./Public,4707.0,4707.0,1712.1372509402,1712.1372509402,1009.8972718039,1009.8972718039
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Private,49951.0,49951.0,1712.1372509402,1712.1372509402,1009.8972718039,1009.8972718039
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Person,all (incl.n.r),6355.0,6355.0,1712.1372509402,1712.1372509402,1009.8972718039,1009.8972718039
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Female,Charitable/NGO/trust run,14303.0,14303.0,2317.1825314562,2317.1825314562,1728.3501617066,1728.3501617066
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Female,Govt./Public,5542.0,5542.0,2317.1825314562,2317.1825314562,1728.3501617066,1728.3501617066
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Female,Private,40054.0,40054.0,2317.1825314562,2317.1825314562,1728.3501617066,1728.3501617066
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Female,all (incl.n.r),8799.0,8799.0,2317.1825314562,2317.1825314562,1728.3501617066,1728.3501617066
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Male,Charitable/NGO/trust run,4614.0,4614.0,2317.1825314562,2317.1825314562,1728.3501617066,1728.3501617066
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Male,Govt./Public,5877.0,5877.0,2317.1825314562,2317.1825314562,1728.3501617066,1728.3501617066
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Male,Private,46994.0,46994.0,2317.1825314562,2317.1825314562,1728.3501617066,1728.3501617066
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Male,all (incl.n.r),8629.0,8629.0,2317.1825314562,2317.1825314562,1728.3501617066,1728.3501617066
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Person,Charitable/NGO/trust run,9446.0,9446.0,2317.1825314562,2317.1825314562,1728.3501617066,1728.3501617066
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Person,Govt./Public,5692.0,5692.0,2317.1825314562,2317.1825314562,1728.3501617066,1728.3501617066
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Person,Private,42565.0,42565.0,2317.1825314562,2317.1825314562,1728.3501617066,1728.3501617066
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Person,all (incl.n.r),8724.0,8724.0,2317.1825314562,2317.1825314562,1728.3501617066,1728.3501617066
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Charitable/NGO/trust run,12152.0,12152.0,603.8922671341,603.8922671341,719.7610273322,719.7610273322
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Govt./Public,10623.0,10623.0,603.8922671341,603.8922671341,719.7610273322,719.7610273322
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Private,38273.0,38273.0,603.8922671341,603.8922671341,719.7610273322,719.7610273322
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Female,all (incl.n.r),17889.0,17889.0,603.8922671341,603.8922671341,719.7610273322,719.7610273322
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Charitable/NGO/trust run,10899.0,10899.0,603.8922671341,603.8922671341,719.7610273322,719.7610273322
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Govt./Public,7585.0,7585.0,603.8922671341,603.8922671341,719.7610273322,719.7610273322
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Private,40494.0,40494.0,603.8922671341,603.8922671341,719.7610273322,719.7610273322
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Male,all (incl.n.r),12484.0,12484.0,603.8922671341,603.8922671341,719.7610273322,719.7610273322
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Charitable/NGO/trust run,11928.0,11928.0,603.8922671341,603.8922671341,719.7610273322,719.7610273322
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Govt./Public,9147.0,9147.0,603.8922671341,603.8922671341,719.7610273322,719.7610273322
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Private,38970.0,38970.0,603.8922671341,603.8922671341,719.7610273322,719.7610273322
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban,Person,all (incl.n.r),15476.0,15476.0,603.8922671341,603.8922671341,719.7610273322,719.7610273322
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Charitable/NGO/trust run,97217.0,97217.0,2718.0,2718.0,1126.0,1126.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Govt./Public,7430.0,7430.0,2718.0,2718.0,1126.0,1126.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Private,24941.0,24941.0,2718.0,2718.0,1126.0,1126.0
