Country,StateName,StateCode,Year,TRU,D7294_3,D7294_4,Hospitalisation_cases_received_treatment_%_sum,Hospitalisation_cases_received_treatment_%_avg,Average_duration_of_treatment_of_hospitalised_cases_sum,Average_duration_of_treatment_of_hospitalised_cases_avg,"Treatment_of_hospitalised_cases_from_government_or_public_hospital_including_hsc,phc_or_chc_etc_%_sum","Treatment_of_hospitalised_cases_from_government_or_public_hospital_including_hsc,phc_or_chc_etc_%_avg",Treatment_of_hospitalised_cases_from_charitable_or_trust_or_ngo_run_hospital_%_sum,Treatment_of_hospitalised_cases_from_charitable_or_trust_or_ngo_run_hospital_%_avg,Treatment_of_hospitalised_cases_from_private_hospital_%_sum,Treatment_of_hospitalised_cases_from_private_hospital_%_avg,Treatment_of_hospitalised_cases_from_private_doctor_or_clinic_%_sum,Treatment_of_hospitalised_cases_from_private_doctor_or_clinic_%_avg,Treatment_of_hospitalised_cases_from_informal_health_care_provider_%_sum,Treatment_of_hospitalised_cases_from_informal_health_care_provider_%_avg,Total_treatment_of_all_hospitalised_cases_%_sum,Total_treatment_of_all_hospitalised_cases_%_avg,Estimated_number_of_hospitalised_cases_sum,Estimated_number_of_hospitalised_cases_avg,Sample_of_hospitalised_cases_sum,Sample_of_hospitalised_cases_avg
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Charitable hospital,After,0.2,0.2,0.0,0.0,42.8,42.8,57.2,57.2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,2.930069454,2.930069454,3.906759272,3.906759272
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Charitable hospital,Before,0.6,0.6,0.0,0.0,22.6,22.6,77.4,77.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,5.860138908,5.860138908,3.906759272,3.906759272
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Govt. hospital,After,96.0,96.0,35.4,35.4,96.7,96.7,0.3,0.3,0.4,0.4,2.5,2.5,0.0,0.0,100.0,100.0,1446.4776204464,1446.4776204464,880.9742158289,880.9742158289
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Govt. hospital,Before,94.7,94.7,97.4,97.4,81.8,81.8,0.4,0.4,1.0,1.0,15.0,15.0,1.8,1.8,100.0,100.0,992.31685508,992.31685508,588.9439602493,588.9439602493
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Private hospital,After,3.7,3.7,1.8,1.8,2.7,2.7,0.0,0.0,80.0,80.0,17.3,17.3,0.0,0.0,100.0,100.0,56.6480094435,56.6480094435,44.9277316276,44.9277316276
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,Private hospital,Before,4.7,4.7,1.6,1.6,38.1,38.1,0.0,0.0,31.0,31.0,30.9,30.9,0.0,0.0,100.0,100.0,49.8111807176,49.8111807176,40.0442825377,40.0442825377
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,all,After,100.0,100.0,37.2,37.2,93.1,93.1,0.4,0.4,3.4,3.4,3.0,3.0,0.0,0.0,100.0,100.0,1506.0556993439,1506.0556993439,929.8087067285,929.8087067285
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural,all,Before,100.0,100.0,99.1,99.1,79.4,79.4,0.9,0.9,2.4,2.4,15.7,15.7,1.7,1.7,100.0,100.0,1047.9881747056,1047.9881747056,632.8950020589,632.8950020589
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Charitable hospital,After,0.5,0.5,0.1,0.1,18.3,18.3,40.6,40.6,20.8,20.8,20.3,20.3,0.0,0.0,100.0,100.0,9.7812686005,9.7812686005,10.7593954605,10.7593954605
India,Jammu and Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Charitable hospital,Before,0.8,0.8,0.5,0.5,36.8,36.8,44.0,44.0,19.2,19.2,0.0,0.0,0.0,0.0,100.0,100.0,10.7593954605,10.7593954605,8.8031417404,8.8031417404
