Country,StateName,StateCode,Year,D6066_3,I6066_4_sum,I6066_4_avg,I6066_5_sum,I6066_5_avg,I6066_6_sum,I6066_6_avg,I6066_7_sum,I6066_7_avg,I6066_8_sum,I6066_8_avg,I6066_9_sum,I6066_9_avg,I6066_10_sum,I6066_10_avg,I6066_11_sum,I6066_11_avg,I6066_12_sum,I6066_12_avg
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2015",Major (Non EAG States),309.0880877755,309.0880877755,898.8985843851,898.8985843851,541.8822804672,541.8822804672,73.3595145037,73.3595145037,0.0,0.0,0.0,0.0,16.6281566208,16.6281566208,0.0,0.0,42.0594549821,42.0594549821
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2016",Major (Non EAG States),7703572.605702301,7703572.605702301,4508883.124290351,4508883.124290351,5461926.899140286,5461926.899140286,650375.1336569433,650375.1336569433,0.0,0.0,0.0,0.0,178358.4985493611,178358.4985493611,0.0,0.0,61911.5177336636,61911.5177336636
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017",Major (Non EAG States),8318996.332269112,8318996.332269112,5182085.782607118,5182085.782607118,5769969.369302388,5769969.369302388,717616.4646510141,717616.4646510141,0.0,0.0,0.0,0.0,192009.2370082054,192009.2370082054,0.0,0.0,55460.7710916403,55460.7710916403
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018",Major (Non EAG States),8194665.648961419,8194665.648961419,5236741.555292938,5236741.555292938,4497739.324973811,4497739.324973811,353031.4150900575,353031.4150900575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2019",Major (Non EAG States),6716850.944934016,6716850.944934016,6132672.502784611,6132672.502784611,4641576.792251462,4641576.792251462,614026.9614106612,614026.9614106612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2015",Major (Non EAG States),357.0,357.0,476.0,476.0,262.0,262.0,34.0,34.0,0.0,0.0,10.0,10.0,72.0,72.0,0.0,0.0,206.0,206.0
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2016",Major (Non EAG States),4052171.0,4052171.0,7261502.0,7261502.0,3070704.0,3070704.0,373320.0,373320.0,0.0,0.0,119716.0,119716.0,887921.0,887921.0,0.0,0.0,2103130.0,2103130.0
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2017",Major (Non EAG States),4443337.0,4443337.0,7427195.0,7427195.0,4214315.0,4214315.0,563807.0,563807.0,0.0,0.0,96887.0,96887.0,884253.0,884253.0,0.0,0.0,2428570.0,2428570.0
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2018",Major (Non EAG States),4739312.0,4739312.0,8550963.0,8550963.0,4774031.0,4774031.0,685282.0,685282.0,0.0,0.0,124844.0,124844.0,929163.0,929163.0,0.0,0.0,2575316.0,2575316.0
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2019",Major (Non EAG States),4924048.0,4924048.0,7569923.0,7569923.0,5603753.0,5603753.0,835479.0,835479.0,0.0,0.0,107859.0,107859.0,975545.0,975545.0,0.0,0.0,3051680.0,3051680.0
