Country,StateName,StateCode,Year,Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_public_sector_sum,Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_public_sector_avg,Percentage_of_Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_public_sector_sum,Percentage_of_Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_public_sector_avg,Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_private_sector_sum,Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_private_sector_avg,Percentage_of_Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_private_sector_sum,Percentage_of_Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_private_sector_avg,Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_public_sector_sum,Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_public_sector_avg,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_public_sector_sum,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_public_sector_avg,Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_private_sector_sum,Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_private_sector_avg,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_private_sector_sum,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_private_sector_avg,Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_public_sector_sum,Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_public_sector_avg,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_public_sector_sum,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_public_sector_avg,Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_private_sector_sum,Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_private_sector_avg,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_private_sector_sum,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_private_sector_avg,Tuberculosis_TB_patients_notified_under_public_sector_sum,Tuberculosis_TB_patients_notified_under_public_sector_avg,Tuberculosis_TB_Patients_notified_under_private_sector_sum,Tuberculosis_TB_Patients_notified_under_private_sector_avg
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020",7428.8735020724,7428.8735020724,,,380.4913485591,380.4913485591,,,375.6007142588,375.6007142588,,,20.540664061,20.540664061,,,137.9158872669,137.9158872669,,,6.8468880203,6.8468880203,,,10911.983250707,10911.983250707,751.2014285177,751.2014285177
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021",7157.0,7157.0,86.0,86.0,441.0,441.0,73.0,73.0,438.0,438.0,6.0,6.0,20.0,20.0,5.0,5.0,179.0,179.0,41.0,41.0,6.0,6.0,30.0,30.0,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022",9078.0,9078.0,88.0,88.0,581.0,581.0,89.0,89.0,592.0,592.0,7.0,7.0,35.0,35.0,6.0,6.0,296.0,296.0,50.0,50.0,23.0,23.0,66.0,66.0,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2023",10855.0,10855.0,95.4,95.4,552.0,552.0,94.8,94.8,729.0,729.0,6.7,6.7,40.0,40.0,7.2,7.2,378.0,378.0,51.9,51.9,31.0,31.0,77.5,77.5,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2024",10777.0,10777.0,95.4,95.4,428.0,428.0,95.1,95.1,819.0,819.0,7.6,7.6,30.0,30.0,7.0,7.0,581.0,581.0,70.9,70.9,27.0,27.0,90.0,90.0,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2020",16412.0,16412.0,,,977.0,977.0,,,1126.0,1126.0,,,39.0,39.0,,,749.0,749.0,,,25.0,25.0,,,16933.0,16933.0,1055.0,1055.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2021",12873.0,12873.0,99.0,99.0,632.0,632.0,97.0,97.0,1072.0,1072.0,8.0,8.0,32.0,32.0,5.0,5.0,822.0,822.0,77.0,77.0,27.0,27.0,84.0,84.0,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2022",14048.0,14048.0,99.0,99.0,559.0,559.0,97.0,97.0,1272.0,1272.0,9.0,9.0,38.0,38.0,7.0,7.0,1096.0,1096.0,86.0,86.0,34.0,34.0,89.0,89.0,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2023",15885.0,15885.0,99.1,99.1,455.0,455.0,97.2,97.2,1484.0,1484.0,9.3,9.3,27.0,27.0,5.9,5.9,1136.0,1136.0,76.5,76.5,21.0,21.0,77.8,77.8,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2024",15529.0,15529.0,98.9,98.9,332.0,332.0,97.1,97.1,1329.0,1329.0,8.6,8.6,19.0,19.0,5.7,5.7,974.0,974.0,73.3,73.3,16.0,16.0,84.2,84.2,,,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2020",42004.0,42004.0,,,10781.0,10781.0,,,4151.0,4151.0,,,683.0,683.0,,,1876.0,1876.0,,,257.0,257.0,,,45911.0,45911.0,13626.0,13626.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2021",33517.0,33517.0,93.0,93.0,9448.0,9448.0,86.0,86.0,3503.0,3503.0,10.0,10.0,680.0,680.0,7.0,7.0,1507.0,1507.0,43.0,43.0,264.0,264.0,39.0,39.0,,,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2022",34630.0,34630.0,90.0,90.0,11711.0,11711.0,86.0,86.0,3932.0,3932.0,11.0,11.0,1007.0,1007.0,9.0,9.0,1846.0,1846.0,47.0,47.0,317.0,317.0,31.0,31.0,,,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2023",43665.0,43665.0,91.5,91.5,9006.0,9006.0,91.8,91.8,4930.0,4930.0,11.3,11.3,676.0,676.0,7.5,7.5,2266.0,2266.0,46.0,46.0,170.0,170.0,25.1,25.1,,,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2024",43332.0,43332.0,91.9,91.9,9392.0,9392.0,89.3,89.3,4956.0,4956.0,11.4,11.4,707.0,707.0,7.5,7.5,2589.0,2589.0,52.2,52.2,263.0,263.0,37.2,37.2,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2020",3212.0,3212.0,,,38.0,38.0,,,244.0,244.0,,,2.0,2.0,,,97.0,97.0,,,1.0,1.0,,,3471.0,3471.0,86.0,86.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2021",2441.0,2441.0,90.0,90.0,176.0,176.0,63.0,63.0,202.0,202.0,8.0,8.0,10.0,10.0,6.0,6.0,81.0,81.0,40.0,40.0,1.0,1.0,10.0,10.0,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2022",2913.0,2913.0,93.0,93.0,77.0,77.0,64.0,64.0,272.0,272.0,9.0,9.0,3.0,3.0,4.0,4.0,173.0,173.0,64.0,64.0,3.0,3.0,100.0,100.0,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2023",3531.0,3531.0,94.9,94.9,47.0,47.0,73.4,73.4,316.0,316.0,8.9,8.9,5.0,5.0,10.6,10.6,248.0,248.0,78.5,78.5,5.0,5.0,100.0,100.0,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2024",3523.0,3523.0,85.8,85.8,94.0,94.0,68.1,68.1,389.0,389.0,11.0,11.0,5.0,5.0,5.3,5.3,315.0,315.0,81.0,81.0,4.0,4.0,80.0,80.0,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020",7502.0,7502.0,,,382.0,382.0,,,563.0,563.0,,,36.0,36.0,,,196.0,196.0,,,15.0,15.0,,,19882.0,19882.0,5341.0,5341.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2021",8812.0,8812.0,57.0,57.0,1241.0,1241.0,27.0,27.0,653.0,653.0,7.0,7.0,83.0,83.0,7.0,7.0,232.0,232.0,36.0,36.0,32.0,32.0,39.0,39.0,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2022",17008.0,17008.0,88.0,88.0,3378.0,3378.0,78.0,78.0,1261.0,1261.0,7.0,7.0,146.0,146.0,4.0,4.0,588.0,588.0,47.0,47.0,77.0,77.0,53.0,53.0,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2023",21948.0,21948.0,96.6,96.6,4339.0,4339.0,93.3,93.3,1741.0,1741.0,7.9,7.9,231.0,231.0,5.3,5.3,670.0,670.0,38.5,38.5,121.0,121.0,52.4,52.4,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2024",21708.0,21708.0,96.2,96.2,3866.0,3866.0,93.1,93.1,1721.0,1721.0,7.9,7.9,295.0,295.0,7.6,7.6,662.0,662.0,38.5,38.5,161.0,161.0,54.6,54.6,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2020",44225.0,44225.0,,,9535.0,9535.0,,,3353.0,3353.0,,,478.0,478.0,,,1673.0,1673.0,,,255.0,255.0,,,54841.0,54841.0,19893.0,19893.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2021",39730.0,39730.0,86.0,86.0,14404.0,14404.0,79.0,79.0,2940.0,2940.0,7.0,7.0,886.0,886.0,6.0,6.0,1455.0,1455.0,49.0,49.0,352.0,352.0,40.0,40.0,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2022",48108.0,48108.0,92.0,92.0,17044.0,17044.0,91.0,91.0,3592.0,3592.0,7.0,7.0,1071.0,1071.0,6.0,6.0,2638.0,2638.0,73.0,73.0,826.0,826.0,77.0,77.0,,,,
