Country,StateName,StateCode,Year,Number_of_TB_patients_with_known_HIV_Status_under_public_sector_sum,Number_of_TB_patients_with_known_HIV_Status_under_public_sector_avg,Number_of_TB_patients_with_known_HIV_Status_under_private_sector_sum,Number_of_TB_patients_with_known_HIV_Status_under_private_sector_avg,Number_of_TB-HIV_co-infected_patients_diagnosed_sum,Number_of_TB-HIV_co-infected_patients_diagnosed_avg,Number_of_TB-HIV_co-infected_patients_put_on_Antiretroviral_Therapy_ART_sum,Number_of_TB-HIV_co-infected_patients_put_on_Antiretroviral_Therapy_ART_avg,Number_of_TB-HIV_co-infected_patients_put_on_Cotrimoxazole_Preventive_Therapy_CPT_sum,Number_of_TB-HIV_co-infected_patients_put_on_Cotrimoxazole_Preventive_Therapy_CPT_avg,Percentage_of_TB_patients_with_known_HIV_Status_under_public_sector_sum,Percentage_of_TB_patients_with_known_HIV_Status_under_public_sector_avg,Percentage_of_TB_patients_with_known_HIV_Status_under_private_sector_sum,Percentage_of_TB_patients_with_known_HIV_Status_under_private_sector_avg,Percentage_of_TB-HIV_co-infected_patients_put_on_AntiRetroviral_Therapy_ART_sum,Percentage_of_TB-HIV_co-infected_patients_put_on_AntiRetroviral_Therapy_ART_avg,Percentage_of_TB-HIV_co-infected_patients_put_on_Cotrimoxazole_Preventive_Therapy_CPT_sum,Percentage_of_TB-HIV_co-infected_patients_put_on_Cotrimoxazole_Preventive_Therapy_CPT_avg,Percentage_of_TB-HIV_co-infected_patients_diagnosed_sum,Percentage_of_TB-HIV_co-infected_patients_diagnosed_avg,Total_number_of_TB_patients_with_known_HIV_status_sum,Total_number_of_TB_patients_with_known_HIV_status_avg,Total_percentage_of_TB_patients_with_known_HIV_status_sum,Total_percentage_of_TB_patients_with_known_HIV_status_avg
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020",9483.9180350354,9483.9180350354,530.1447581466,530.1447581466,27.3875520814,27.3875520814,26.4094252213,26.4094252213,23.4750446412,23.4750446412,87.0,87.0,71.0,71.0,96.0,96.0,86.0,86.0,0.0,0.0,,,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2021",7958.0,7958.0,579.0,579.0,60.0,60.0,63.0,63.0,61.0,61.0,96.0,96.0,96.0,96.0,104.0,104.0,101.0,101.0,,,,,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2022",9546.0,9546.0,586.0,586.0,42.0,42.0,36.0,36.0,41.0,41.0,92.0,92.0,90.0,90.0,86.0,86.0,98.0,98.0,,,,,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2023",11101.0,11101.0,560.0,560.0,,,,,,,97.6,97.6,96.2,96.2,,,,,,,,,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2024",10842.0,10842.0,434.0,434.0,,,,,,,96.0,96.0,96.0,96.0,,,,,,,11276.0,11276.0,96.0,96.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2020",16687.0,16687.0,990.0,990.0,151.0,151.0,147.0,147.0,151.0,151.0,99.0,99.0,94.0,94.0,97.0,97.0,100.0,100.0,1.0,1.0,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2021",12924.0,12924.0,644.0,644.0,110.0,110.0,100.0,100.0,92.0,92.0,99.0,99.0,99.0,99.0,91.0,91.0,83.0,83.0,,,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2022",14099.0,14099.0,560.0,560.0,87.0,87.0,85.0,85.0,94.0,94.0,99.0,99.0,97.0,97.0,98.0,98.0,108.0,108.0,,,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2023",15929.0,15929.0,461.0,461.0,92.0,92.0,92.0,92.0,92.0,92.0,99.4,99.4,98.5,98.5,100.0,100.0,100.0,100.0,,,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2024",15544.0,15544.0,327.0,327.0,,,,,,,99.0,99.0,96.0,96.0,,,,,,,15871.0,15871.0,99.0,99.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2020",43441.0,43441.0,11434.0,11434.0,950.0,950.0,860.0,860.0,928.0,928.0,95.0,95.0,84.0,84.0,91.0,91.0,98.0,98.0,2.0,2.0,,,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2021",34810.0,34810.0,10307.0,10307.0,970.0,970.0,907.0,907.0,953.0,953.0,96.0,96.0,94.0,94.0,93.0,93.0,98.0,98.0,,,,,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2022",36421.0,36421.0,12388.0,12388.0,1034.0,1034.0,969.0,969.0,975.0,975.0,95.0,95.0,90.0,90.0,94.0,94.0,94.0,94.0,,,,,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2023",45215.0,45215.0,9338.0,9338.0,1032.0,1032.0,1018.0,1018.0,1044.0,1044.0,94.7,94.7,95.1,95.1,99.0,99.0,101.0,101.0,,,,,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2024",44334.0,44334.0,9521.0,9521.0,,,,,,,94.0,94.0,91.0,91.0,,,,,,,53855.0,53855.0,93.0,93.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2020",3349.0,3349.0,43.0,43.0,271.0,271.0,252.0,252.0,269.0,269.0,96.0,96.0,50.0,50.0,93.0,93.0,99.0,99.0,8.0,8.0,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2021",2582.0,2582.0,247.0,247.0,146.0,146.0,135.0,135.0,146.0,146.0,96.0,96.0,89.0,89.0,92.0,92.0,100.0,100.0,,,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2022",3034.0,3034.0,84.0,84.0,209.0,209.0,194.0,194.0,208.0,208.0,97.0,97.0,69.0,69.0,93.0,93.0,100.0,100.0,,,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2023",3620.0,3620.0,51.0,51.0,170.0,170.0,155.0,155.0,168.0,168.0,97.3,97.3,79.7,79.7,91.0,91.0,99.0,99.0,,,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2024",3663.0,3663.0,98.0,98.0,,,,,,,89.0,89.0,71.0,71.0,,,,,,,3761.0,3761.0,89.0,89.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020",16518.0,16518.0,2670.0,2670.0,254.0,254.0,196.0,196.0,220.0,220.0,83.0,83.0,50.0,50.0,77.0,77.0,87.0,87.0,1.0,1.0,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2021",13633.0,13633.0,3345.0,3345.0,218.0,218.0,192.0,192.0,211.0,211.0,88.0,88.0,72.0,72.0,88.0,88.0,97.0,97.0,,,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2022",18163.0,18163.0,3750.0,3750.0,121.0,121.0,84.0,84.0,95.0,95.0,94.0,94.0,86.0,86.0,69.0,69.0,79.0,79.0,,,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2023",22379.0,22379.0,4551.0,4551.0,174.0,174.0,133.0,133.0,122.0,122.0,98.5,98.5,97.9,97.9,76.0,76.0,70.0,70.0,,,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2024",22035.0,22035.0,4004.0,4004.0,,,,,,,98.0,98.0,96.0,96.0,,,,,,,26039.0,26039.0,97.0,97.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2020",48683.0,48683.0,11662.0,11662.0,664.0,664.0,544.0,544.0,563.0,563.0,89.0,89.0,59.0,59.0,82.0,82.0,85.0,85.0,1.0,1.0,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2021",43424.0,43424.0,15718.0,15718.0,630.0,630.0,550.0,550.0,535.0,535.0,94.0,94.0,86.0,86.0,87.0,87.0,85.0,85.0,,,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2022",50431.0,50431.0,17811.0,17811.0,447.0,447.0,421.0,421.0,383.0,383.0,96.0,96.0,95.0,95.0,94.0,94.0,86.0,86.0,,,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2023",59816.0,59816.0,16555.0,16555.0,696.0,696.0,569.0,569.0,552.0,552.0,97.6,97.6,95.2,95.2,82.0,82.0,79.0,79.0,,,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2024",63231.0,63231.0,15969.0,15969.0,,,,,,,99.0,99.0,97.0,97.0,,,,,,,79200.0,79200.0,98.0,98.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2020",47621.0,47621.0,3486.0,3486.0,1518.0,1518.0,1397.0,1397.0,1517.0,1517.0,67.0,67.0,13.0,13.0,92.0,92.0,100.0,100.0,3.0,3.0,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2021",46320.0,46320.0,8691.0,8691.0,941.0,941.0,858.0,858.0,924.0,924.0,80.0,80.0,47.0,47.0,91.0,91.0,98.0,98.0,,,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2022",58661.0,58661.0,10707.0,10707.0,1080.0,1080.0,975.0,975.0,1055.0,1055.0,87.0,87.0,64.0,64.0,90.0,90.0,98.0,98.0,,,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2023",69488.0,69488.0,6009.0,6009.0,984.0,984.0,915.0,915.0,972.0,972.0,89.1,89.1,58.8,58.8,93.0,93.0,99.0,99.0,,,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2024",69906.0,69906.0,4293.0,4293.0,,,,,,,90.0,90.0,37.0,37.0,,,,,,,74199.0,74199.0,83.0,83.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2020",106786.0,106786.0,25745.0,25745.0,1769.0,1769.0,1733.0,1733.0,1766.0,1766.0,87.0,87.0,49.0,49.0,98.0,98.0,100.0,100.0,1.0,1.0,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2021",92574.0,92574.0,35230.0,35230.0,1283.0,1283.0,1231.0,1231.0,1247.0,1247.0,95.0,95.0,87.0,87.0,96.0,96.0,97.0,97.0,,,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2022",102792.0,102792.0,40507.0,40507.0,1404.0,1404.0,1315.0,1315.0,1367.0,1367.0,96.0,96.0,93.0,93.0,94.0,94.0,97.0,97.0,,,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2023",126507.0,126507.0,36622.0,36622.0,1458.0,1458.0,1416.0,1416.0,1411.0,1411.0,96.1,96.1,94.8,94.8,97.0,97.0,97.0,97.0,,,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2024",122081.0,122081.0,33667.0,33667.0,,,,,,,94.0,94.0,93.0,93.0,,,,,,,155748.0,155748.0,94.0,94.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2020",319302.0,319302.0,63880.0,63880.0,3119.0,3119.0,2925.0,2925.0,2835.0,2835.0,90.0,90.0,44.0,44.0,94.0,94.0,91.0,91.0,1.0,1.0,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2021",248799.0,248799.0,91108.0,91108.0,2356.0,2356.0,2159.0,2159.0,2204.0,2204.0,93.0,93.0,85.0,85.0,92.0,92.0,94.0,94.0,,,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2022",334691.0,334691.0,107212.0,107212.0,2454.0,2454.0,2330.0,2330.0,2341.0,2341.0,96.0,96.0,93.0,93.0,95.0,95.0,95.0,95.0,,,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2023",410100.0,410100.0,111531.0,111531.0,3111.0,3111.0,2970.0,2970.0,3056.0,3056.0,97.8,97.8,95.6,95.6,95.0,95.0,98.0,98.0,,,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2024",449652.0,449652.0,184413.0,184413.0,,,,,,,99.0,99.0,99.0,99.0,,,,,,,634065.0,634065.0,99.0,99.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2020",66398.0,66398.0,19261.0,19261.0,1987.0,1987.0,1615.0,1615.0,1476.0,1476.0,83.0,83.0,42.0,42.0,81.0,81.0,74.0,74.0,2.0,2.0,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2021",45418.0,45418.0,38018.0,38018.0,1524.0,1524.0,1329.0,1329.0,1150.0,1150.0,83.0,83.0,80.0,80.0,87.0,87.0,75.0,75.0,,,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2022",53840.0,53840.0,66080.0,66080.0,1429.0,1429.0,1240.0,1240.0,1044.0,1044.0,84.0,84.0,92.0,92.0,87.0,87.0,73.0,73.0,,,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2023",70582.0,70582.0,76871.0,76871.0,1593.0,1593.0,1228.0,1228.0,1225.0,1225.0,86.7,86.7,91.0,91.0,77.0,77.0,77.0,77.0,,,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2024",77817.0,77817.0,88796.0,88796.0,,,,,,,85.0,85.0,89.0,89.0,,,,,,,166613.0,166613.0,87.0,87.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2020",1318.0,1318.0,17.0,17.0,3.0,3.0,2.0,2.0,2.0,2.0,92.0,92.0,55.0,55.0,67.0,67.0,67.0,67.0,0.0,0.0,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2021",1218.0,1218.0,85.0,85.0,8.0,8.0,8.0,8.0,8.0,8.0,96.0,96.0,98.0,98.0,100.0,100.0,100.0,100.0,,,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2022",1287.0,1287.0,98.0,98.0,8.0,8.0,6.0,6.0,8.0,8.0,96.0,96.0,99.0,99.0,75.0,75.0,100.0,100.0,,,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2023",1314.0,1314.0,72.0,72.0,7.0,7.0,7.0,7.0,7.0,7.0,98.2,98.2,97.3,97.3,100.0,100.0,100.0,100.0,,,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2024",1280.0,1280.0,73.0,73.0,,,,,,,97.0,97.0,90.0,90.0,,,,,,,1353.0,1353.0,96.0,96.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2020",2633.0,2633.0,41.0,41.0,2.0,2.0,2.0,2.0,0.0,0.0,89.0,89.0,82.0,82.0,100.0,100.0,0.0,0.0,0.0,0.0,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2021",2378.0,2378.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,92.0,92.0,100.0,100.0,0.0,0.0,0.0,0.0,,,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2022",2707.0,2707.0,0.0,0.0,2.0,2.0,5.0,5.0,5.0,5.0,94.0,94.0,,,250.0,250.0,250.0,250.0,,,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2023",2790.0,2790.0,4.0,4.0,16.0,16.0,17.0,17.0,12.0,12.0,92.7,92.7,66.7,66.7,106.0,106.0,75.0,75.0,,,,,,
