Country,StateName,StateCode,DistrictName,DistrictCode,Year,D1139_4,I1139_5_sum,I1139_5_avg,I1139_6_sum,I1139_6_avg,I1139_7_sum,I1139_7_avg,I1139_8_sum,I1139_8_avg,I1139_9_sum,I1139_9_avg,I1139_10_sum,I1139_10_avg
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2017",Private,393.0,393.0,393.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2017",Public,591.0,591.0,591.0,591.0,682.0,682.0,115.0,115.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2018",Private,656.0,656.0,656.0,656.0,114.0,114.0,17.0,17.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2018",Public,603.0,603.0,603.0,603.0,682.0,682.0,113.0,113.0,682.0,682.0,0.0,0.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2019",Private,470.0,470.0,470.0,470.0,65.0,65.0,14.0,14.0,114.0,114.0,-43.0,-43.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2019",Public,1660.0,1660.0,1660.0,1660.0,642.0,642.0,39.0,39.0,682.0,682.0,-6.0,-6.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2020",Private,470.0,470.0,470.0,470.0,41.0,41.0,9.0,9.0,65.0,65.0,-37.0,-37.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2020",Public,1680.0,1680.0,1680.0,1680.0,495.0,495.0,29.0,29.0,642.0,642.0,-23.0,-23.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2021",Private,90.0,90.0,90.0,90.0,99.0,99.0,110.0,110.0,41.0,41.0,141.0,141.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2021",Public,870.0,870.0,870.0,870.0,580.0,580.0,67.0,67.0,495.0,495.0,17.0,17.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2022",Private,150.0,150.0,150.0,150.0,111.0,111.0,74.0,74.0,99.0,99.0,12.0,12.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2022",Public,700.0,700.0,700.0,700.0,517.0,517.0,74.0,74.0,580.0,580.0,-11.0,-11.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2023",Private,70.0,70.0,70.0,70.0,61.0,61.0,87.0,87.0,111.0,111.0,-45.0,-45.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2023",Public,550.0,550.0,550.0,550.0,426.0,426.0,77.0,77.0,517.0,517.0,-18.0,-18.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2024",Private,70.0,70.0,40.0,40.0,29.0,29.0,72.0,72.0,46.0,46.0,-37.0,-37.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2024",Public,465.0,465.0,271.0,271.0,284.0,284.0,105.0,105.0,269.0,269.0,6.0,6.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2025",Private,40.0,40.0,16.0,16.0,7.0,7.0,44.0,44.0,17.0,17.0,-59.0,-59.0
India,Jammu And Kashmir,1,Anantnag,1,"Calendar Year (Jan - Dec), 2025",Public,440.0,440.0,183.0,183.0,146.0,146.0,80.0,80.0,191.0,191.0,-24.0,-24.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2017",Private,180.0,180.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2017",Public,243.0,243.0,243.0,243.0,213.0,213.0,88.0,88.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2018",Private,301.0,301.0,301.0,301.0,12.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2018",Public,248.0,248.0,248.0,248.0,196.0,196.0,79.0,79.0,213.0,213.0,-8.0,-8.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2019",Private,230.0,230.0,230.0,230.0,25.0,25.0,11.0,11.0,12.0,12.0,108.0,108.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2019",Public,820.0,820.0,820.0,820.0,150.0,150.0,18.0,18.0,196.0,196.0,-23.0,-23.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2020",Private,230.0,230.0,230.0,230.0,24.0,24.0,10.0,10.0,25.0,25.0,-4.0,-4.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2020",Public,830.0,830.0,830.0,830.0,144.0,144.0,17.0,17.0,150.0,150.0,-4.0,-4.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2021",Private,40.0,40.0,40.0,40.0,8.0,8.0,20.0,20.0,24.0,24.0,-67.0,-67.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2021",Public,450.0,450.0,450.0,450.0,113.0,113.0,25.0,25.0,144.0,144.0,-22.0,-22.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2022",Private,30.0,30.0,30.0,30.0,13.0,13.0,43.0,43.0,8.0,8.0,62.0,62.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2022",Public,270.0,270.0,270.0,270.0,98.0,98.0,36.0,36.0,113.0,113.0,-13.0,-13.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2023",Private,20.0,20.0,20.0,20.0,10.0,10.0,50.0,50.0,13.0,13.0,-23.0,-23.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2023",Public,110.0,110.0,110.0,110.0,82.0,82.0,75.0,75.0,98.0,98.0,-16.0,-16.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2024",Private,10.0,10.0,5.0,5.0,6.0,6.0,120.0,120.0,7.0,7.0,-14.0,-14.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2024",Public,95.0,95.0,55.0,55.0,51.0,51.0,93.0,93.0,52.0,52.0,-2.0,-2.0
India,Jammu And Kashmir,1,Budgam,2,"Calendar Year (Jan - Dec), 2025",Private,10.0,10.0,4.0,4.0,1.0,1.0,25.0,25.0,3.0,3.0,-67.0,-67.0
