Country,StateName,StateCode,Year,Number_of_new_cases_notified_of_Tuberculosis_sum,Number_of_new_cases_notified_of_Tuberculosis_avg,Number_of_cases_previously_treated_notified_of_Tuberculosis_sum,Number_of_cases_previously_treated_notified_of_Tuberculosis_avg,Number_of_Programmatic_Management_of_Drug-resistant_Tuberculosis_PMDT_cases_notified_of_Tuberculosis_sum,Number_of_Programmatic_Management_of_Drug-resistant_Tuberculosis_PMDT_cases_notified_of_Tuberculosis_avg,Number_of_notified_Tuberculosis_patients_with_site_of_disease_as_pulmonary_sum,Number_of_notified_Tuberculosis_patients_with_site_of_disease_as_pulmonary_avg,Number_of_notified_Tuberculosis_patients_with_site_of_disease_as_extra_pulmonary_sum,Number_of_notified_Tuberculosis_patients_with_site_of_disease_as_extra_pulmonary_avg,Number_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_microscopy_sum,Number_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_microscopy_avg,Number_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_molecualr_tests_sum,Number_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_molecualr_tests_avg,Number_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_chest_X_ray_sum,Number_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_chest_X_ray_avg,Others_sum,Others_avg,Percentage_of_new_cases_notified_of_Tuberculosis_sum,Percentage_of_new_cases_notified_of_Tuberculosis_avg,Percentage_of_previously_treated_cases_notified_as_Tuberculosis_sum,Percentage_of_previously_treated_cases_notified_as_Tuberculosis_avg,Percentage_of_Programmatic_Management_of_Drug-resistant_Tuberculosis_PMDT_cases_notified_of_Tuberculosis_sum,Percentage_of_Programmatic_Management_of_Drug-resistant_Tuberculosis_PMDT_cases_notified_of_Tuberculosis_avg,Percentage_of_site_of_disease_as_pulmonary_sum,Percentage_of_site_of_disease_as_pulmonary_avg,Percentage_of_site_of_disease_as_extra_pulmonary_sum,Percentage_of_site_of_disease_as_extra_pulmonary_avg,Percentage_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_microscopy_sum,Percentage_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_microscopy_avg,Percentage_of_diagnostic_test_through_molecular_tests_sum,Percentage_of_diagnostic_test_through_molecular_tests_avg,Percentage_of_diagnostic_test_through_chest_X_ray_sum,Percentage_of_diagnostic_test_through_chest_X_ray_avg,Percentage_of_others_sum,Percentage_of_others_avg,Number_of_Drug_Resistant_Tuberculosis_DRTB_cases_sum,Number_of_Drug_Resistant_Tuberculosis_DRTB_cases_avg,Basis_of_diagnosis_was_bacteriologically_confirmed_sum,Basis_of_diagnosis_was_bacteriologically_confirmed_avg,Basis_of_diagnosis_as_clinically_diagnosed_sum,Basis_of_diagnosis_as_clinically_diagnosed_avg,Percentage_of_Drug_Resistant_Tuberculosis_DRTB_cases_notified_sum,Percentage_of_Drug_Resistant_Tuberculosis_DRTB_cases_notified_avg,Percentage_of_cases_on_basis_of_diagnosis_was_bacteriologically_confirmed_sum,Percentage_of_cases_on_basis_of_diagnosis_was_bacteriologically_confirmed_avg,Percentage_of_cases_on_basis_of_diagnosis_as_clinically_diagnosed_sum,Percentage_of_cases_on_basis_of_diagnosis_as_clinically_diagnosed_avg,Number_of_male_Tubercluosis_patients_sum,Number_of_male_Tubercluosis_patients_avg,Number_of_female_patients_sum,Number_of_female_patients_avg,Number_of_transgender_Tubercluosis_patients_sum,Number_of_transgender_Tubercluosis_patients_avg
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020",10373.03535082,10373.03535082,1080.8301803542,1080.8301803542,,,6845.9098934832,6845.9098934832,4754.6746666984,4754.6746666984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5878.5424288947,5878.5424288947,5722.0421312868,5722.0421312868,,,,,,,6773.5285058396,6773.5285058396,4801.6247559807,4801.6247559807,25.4312983613,25.4312983613
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021",7763.0,7763.0,953.0,953.0,,,5214.0,5214.0,3616.0,3616.0,2435.0,2435.0,1899.0,1899.0,1662.0,1662.0,2834.0,2834.0,89.0,89.0,11.0,11.0,,,59.0,59.0,41.0,41.0,28.0,28.0,22.0,22.0,19.0,19.0,32.0,32.0,,,4345.0,4345.0,4485.0,4485.0,,,49.0,49.0,51.0,51.0,,,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022",9555.0,9555.0,1158.0,1158.0,,,6359.0,6359.0,4467.0,4467.0,2966.0,2966.0,2485.0,2485.0,1873.0,1873.0,3502.0,3502.0,88.3,88.3,10.7,10.7,,,59.0,59.0,41.0,41.0,27.0,27.0,23.0,23.0,17.0,17.0,32.0,32.0,113.0,113.0,5459.0,5459.0,5367.0,5367.0,1.0,1.0,50.0,50.0,50.0,50.0,,,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2023",10536.0,10536.0,1111.0,1111.0,157.0,157.0,7485.0,7485.0,4319.0,4319.0,2492.0,2492.0,3203.0,3203.0,2070.0,2070.0,6531.0,6531.0,89.3,89.3,9.4,9.4,1.3,1.3,63.4,63.4,36.6,36.6,17.4,17.4,22.4,22.4,14.5,14.5,45.7,45.7,,,,,,,,,,,,,,,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2024",10037.0,10037.0,1717.0,1717.0,,,7687.0,7687.0,4067.0,4067.0,,,,,,,,,85.0,85.0,15.0,15.0,,,65.4,65.4,34.6,34.6,,,,,,,,,,,7827.0,7827.0,3927.0,3927.0,,,66.6,66.6,33.4,33.4,,,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2020",14854.0,14854.0,2099.0,2099.0,,,11375.0,11375.0,6071.0,6071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11701.0,11701.0,5745.0,5745.0,,,,,,,11005.0,11005.0,6421.0,6421.0,20.0,20.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2021",11269.0,11269.0,1745.0,1745.0,,,8530.0,8530.0,4894.0,4894.0,4393.0,4393.0,4649.0,4649.0,1178.0,1178.0,3204.0,3204.0,87.0,87.0,13.0,13.0,,,64.0,64.0,36.0,36.0,33.0,33.0,35.0,35.0,9.0,9.0,24.0,24.0,,,9071.0,9071.0,4353.0,4353.0,,,68.0,68.0,32.0,32.0,,,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2022",12279.0,12279.0,1845.0,1845.0,,,9495.0,9495.0,4997.0,4997.0,5015.0,5015.0,4918.0,4918.0,978.0,978.0,3581.0,3581.0,84.7,84.7,12.7,12.7,,,66.0,66.0,34.0,34.0,35.0,35.0,34.0,34.0,7.0,7.0,25.0,25.0,368.0,368.0,9957.0,9957.0,4535.0,4535.0,2.5,2.5,69.0,69.0,31.0,31.0,,,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2023",13943.0,13943.0,1760.0,1760.0,386.0,386.0,11042.0,11042.0,5047.0,5047.0,5092.0,5092.0,5567.0,5567.0,1069.0,1069.0,9453.0,9453.0,86.7,86.7,10.9,10.9,2.4,2.4,68.6,68.6,31.4,31.4,24.0,24.0,26.3,26.3,5.0,5.0,44.6,44.6,,,,,,,,,,,,,,,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2024",13434.0,13434.0,2214.0,2214.0,,,10547.0,10547.0,5101.0,5101.0,,,,,,,,,86.0,86.0,14.0,14.0,,,67.4,67.4,32.6,32.6,,,,,,,,,,,11162.0,11162.0,4486.0,4486.0,,,71.3,71.3,28.7,28.7,,,,,,
