Country,StateName,StateCode,Year,Number_of_previously_treated_TB_patients_notified_under_public_sector_sum,Number_of_previously_treated_TB_patients_notified_under_public_sector_avg,Number_of_persons_cured_sum,Number_of_persons_cured_avg,Percentage_of_cure_rate_sum,Percentage_of_cure_rate_avg,Number_of_persons_treated_successfully_sum,Number_of_persons_treated_successfully_avg,Percentage_of_success_rate_sum,Percentage_of_success_rate_avg,Number_of_persons_died_sum,Number_of_persons_died_avg,Percentage_of_death_rate_sum,Percentage_of_death_rate_avg,Number_of_persons_who_do_not_return_for_necessary_follow-up_visits_sum,Number_of_persons_who_do_not_return_for_necessary_follow-up_visits_avg,Percentage_of_lost_to_follow_up_sum,Percentage_of_lost_to_follow_up_avg,Number_of_persons_for_whom_the_treatment_was_a_failure_sum,Number_of_persons_for_whom_the_treatment_was_a_failure_avg,Percentage_of_treatment_failure_rate_sum,Percentage_of_treatment_failure_rate_avg,Number_of_persons_for_whom_the_treatment_regimen_has_to_change_sum,Number_of_persons_for_whom_the_treatment_regimen_has_to_change_avg,Percentage_of_regimen_change_sum,Percentage_of_regimen_change_avg,Number_of_persons_whose_treatments_is_not_clear_sum,Number_of_persons_whose_treatments_is_not_clear_avg,Percentage_of_not_evaluated_sum,Percentage_of_not_evaluated_avg,Number_of_bacteriologically_confirmed_TB_patients_sum,Number_of_bacteriologically_confirmed_TB_patients_avg
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2017",1149.2990605576,1149.2990605576,538.947899887,538.947899887,47.0,47.0,674.9075334338,674.9075334338,59.0,59.0,48.9063430025,48.9063430025,4.0,4.0,48.9063430025,48.9063430025,4.0,4.0,29.3438058015,29.3438058015,3.0,3.0,16.6281566208,16.6281566208,1.0,1.0,330.6068786966,330.6068786966,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018",1465.2340363535,1465.2340363535,865.6422711434,865.6422711434,71.0,71.0,1229.5054630816,1229.5054630816,84.0,84.0,59.665738463,59.665738463,4.0,4.0,66.5126264833,66.5126264833,5.0,5.0,29.3438058015,29.3438058015,2.0,2.0,8.8031417404,8.8031417404,1.0,1.0,71.4032607836,71.4032607836,5.0,5.0,1210.9210527407,1210.9210527407
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019",1046.0,1046.0,573.0,573.0,70.0,70.0,893.0,893.0,85.0,85.0,34.0,34.0,3.3,3.3,24.0,24.0,2.3,2.3,11.0,11.0,1.1,1.1,18.0,18.0,1.7,1.7,66.0,66.0,6.3,6.3,823.0,823.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020",936.0,936.0,485.0,485.0,72.0,72.0,758.0,758.0,81.0,81.0,45.0,45.0,4.8,4.8,16.0,16.0,1.7,1.7,9.0,9.0,1.0,1.0,15.0,15.0,1.6,1.6,67.0,67.0,7.2,7.2,671.0,671.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021",1144.0,1144.0,604.0,604.0,52.8,52.8,975.0,975.0,85.2,85.2,60.0,60.0,5.2,5.2,24.0,24.0,2.1,2.1,14.0,14.0,1.2,1.2,13.0,13.0,1.1,1.1,17.0,17.0,1.5,1.5,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022",1422.0,1422.0,704.0,704.0,49.5,49.5,1149.0,1149.0,80.8,80.8,51.0,51.0,3.6,3.6,25.0,25.0,1.8,1.8,12.0,12.0,0.8,0.8,14.0,14.0,1.0,1.0,5.0,5.0,0.4,0.4,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2017",2222.0,2222.0,1324.0,1324.0,60.0,60.0,1811.0,1811.0,82.0,82.0,151.0,151.0,7.0,7.0,82.0,82.0,4.0,4.0,32.0,32.0,1.0,1.0,95.0,95.0,4.0,4.0,51.0,51.0,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018",2258.0,2258.0,1326.0,1326.0,67.0,67.0,1930.0,1930.0,85.0,85.0,130.0,130.0,6.0,6.0,54.0,54.0,2.0,2.0,17.0,17.0,1.0,1.0,37.0,37.0,2.0,2.0,90.0,90.0,4.0,4.0,1979.0,1979.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019",2096.0,2096.0,1228.0,1228.0,66.0,66.0,1820.0,1820.0,87.0,87.0,127.0,127.0,6.1,6.1,43.0,43.0,2.1,2.1,11.0,11.0,0.5,0.5,42.0,42.0,2.0,2.0,53.0,53.0,2.5,2.5,1853.0,1853.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2020",1747.0,1747.0,1022.0,1022.0,66.0,66.0,1516.0,1516.0,87.0,87.0,100.0,100.0,5.7,5.7,18.0,18.0,1.0,1.0,11.0,11.0,0.6,0.6,37.0,37.0,2.1,2.1,18.0,18.0,1.0,1.0,1545.0,1545.0
