Country,StateName,StateCode,Year,Number_of_tuberculosistb_patients_notified_sum,Number_of_tuberculosistb_patients_notified_avg,Number_tuberculosistb_cases_confirmed_bacteriologically_sum,Number_tuberculosistb_cases_confirmed_bacteriologically_avg,Number_of_patients_cured_from_tuberculosistb_sum,Number_of_patients_cured_from_tuberculosistb_avg,Percentage_of_patients_cured_from_tuberculosistb_sum,Percentage_of_patients_cured_from_tuberculosistb_avg,Number_of_successful_treatments_for_tuberculosistb_sum,Number_of_successful_treatments_for_tuberculosistb_avg,Percentage_of_successful_treatments_for_tuberculosistb_sum,Percentage_of_successful_treatments_for_tuberculosistb_avg,Number_of_patients_died_due_to_tuberculosistb_sum,Number_of_patients_died_due_to_tuberculosistb_avg,Percentage_of_deaths_due_to_tuberculosistb_sum,Percentage_of_deaths_due_to_tuberculosistb_avg,Number_of_failed_treatments_for_tuberculosistb_sum,Number_of_failed_treatments_for_tuberculosistb_avg,Percentage_of_failed_treatments_for_tuberculosistb_sum,Percentage_of_failed_treatments_for_tuberculosistb_avg,Number_of_tuberculosistb_cases_lost_to_followup_sum,Number_of_tuberculosistb_cases_lost_to_followup_avg,Percentage_of_tuberculosistb_cases_lost_to_followup_sum,Percentage_of_tuberculosistb_cases_lost_to_followup_avg,Number_of_regimen_change_in_tuberculosistb_cases_sum,Number_of_regimen_change_in_tuberculosistb_cases_avg,Percentage_of_regimen_change_in_tuberculosistb_cases_sum,Percentage_of_regimen_change_in_tuberculosistb_cases_avg,Number_of_tuberculosistb_cases_not_evaluated_sum,Number_of_tuberculosistb_cases_not_evaluated_avg,Percentage_of_tuberculosistb_cases_not_evaluated_sum,Percentage_of_tuberculosistb_cases_not_evaluated_avg,Others_sum,Others_avg
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2017",1075.9395460539,1075.9395460539,,,,,,,116.3970963458,116.3970963458,11.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,952.6955616878,952.6955616878,,,6.8468880203,6.8468880203
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2018",894.9860769449,894.9860769449,,,,,,,581.0073548691,581.0073548691,65.0,65.0,2.9343805801,2.9343805801,0.0,0.0,1.9562537201,1.9562537201,0.0,0.0,11.7375223206,11.7375223206,1.0,1.0,0.97812686,0.97812686,0.0,0.0,296.3724385949,296.3724385949,33.0,33.0,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2019",701.0,701.0,275.0,275.0,130.0,130.0,47.0,47.0,587.0,587.0,84.0,84.0,9.0,9.0,1.3,1.3,5.0,5.0,0.7,0.7,5.0,5.0,0.7,0.7,3.0,3.0,0.4,0.4,92.0,92.0,13.1,13.1,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020",606.0,606.0,200.0,200.0,210.0,210.0,105.0,105.0,497.0,497.0,82.0,82.0,15.0,15.0,2.5,2.5,3.0,3.0,0.5,0.5,10.0,10.0,1.7,1.7,0.0,0.0,0.0,0.0,44.0,44.0,7.3,7.3,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2021",630.0,630.0,,,140.0,140.0,22.2,22.2,578.0,578.0,91.7,91.7,20.0,20.0,3.2,3.2,2.0,2.0,0.3,0.3,10.0,10.0,1.6,1.6,3.0,3.0,0.5,0.5,5.0,5.0,0.8,0.8,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2022",544.0,544.0,,,97.0,97.0,17.8,17.8,498.0,498.0,91.5,91.5,10.0,10.0,1.8,1.8,2.0,2.0,0.4,0.4,6.0,6.0,1.1,1.1,3.0,3.0,0.6,0.6,3.0,3.0,0.6,0.6,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2017",849.0,849.0,,,,,,,479.0,479.0,56.0,56.0,12.0,12.0,1.0,1.0,,,,,,,,,,,,,337.0,337.0,,,21.0,21.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018",1113.0,1113.0,,,,,,,917.0,917.0,82.0,82.0,34.0,34.0,3.0,3.0,1.0,1.0,0.0,0.0,27.0,27.0,2.0,2.0,1.0,1.0,0.0,0.0,133.0,133.0,12.0,12.0,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019",901.0,901.0,270.0,270.0,149.0,149.0,55.0,55.0,786.0,786.0,87.0,87.0,45.0,45.0,5.0,5.0,1.0,1.0,0.1,0.1,21.0,21.0,2.3,2.3,2.0,2.0,0.2,0.2,46.0,46.0,5.1,5.1,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2020",586.0,586.0,214.0,214.0,124.0,124.0,58.0,58.0,469.0,469.0,80.0,80.0,28.0,28.0,4.8,4.8,6.0,6.0,1.0,1.0,22.0,22.0,3.8,3.8,11.0,11.0,1.9,1.9,34.0,34.0,5.8,5.8,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2021",550.0,550.0,,,123.0,123.0,22.4,22.4,463.0,463.0,84.2,84.2,25.0,25.0,4.5,4.5,10.0,10.0,1.8,1.8,11.0,11.0,2.0,2.0,2.0,2.0,0.4,0.4,1.0,1.0,0.2,0.2,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2022",462.0,462.0,,,110.0,110.0,23.8,23.8,374.0,374.0,81.0,81.0,14.0,14.0,3.0,3.0,4.0,4.0,0.9,0.9,11.0,11.0,2.4,2.4,6.0,6.0,1.3,1.3,11.0,11.0,2.4,2.4,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2017",6029.0,6029.0,,,,,,,1112.0,1112.0,18.0,18.0,11.0,11.0,0.0,0.0,,,,,,,,,,,,,4844.0,4844.0,,,62.0,62.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2018",9252.0,9252.0,,,,,,,6861.0,6861.0,74.0,74.0,371.0,371.0,4.0,4.0,32.0,32.0,0.0,0.0,535.0,535.0,6.0,6.0,60.0,60.0,1.0,1.0,1393.0,1393.0,15.0,15.0,,
