Country,StateName,StateCode,Year,Number_of_tuberculosistb_patients_notified_sum,Number_of_tuberculosistb_patients_notified_avg,Number_of_tuberculosistb_cases_confirmed_bacteriologically_sum,Number_of_tuberculosistb_cases_confirmed_bacteriologically_avg,Number_of_patients_cured_from_tuberculosistb_sum,Number_of_patients_cured_from_tuberculosistb_avg,Percentage_of_patients_cured_from_tuberculosistb_sum,Percentage_of_patients_cured_from_tuberculosistb_avg,Number_of_successful_treatments_for_tuberculosistb_sum,Number_of_successful_treatments_for_tuberculosistb_avg,Percentage_of_successful_treatments_for_tuberculosistb_sum,Percentage_of_successful_treatments_for_tuberculosistb_avg,Number_of_patients_died_due_to_tuberculosistb_sum,Number_of_patients_died_due_to_tuberculosistb_avg,Percentage_of_deaths_due_to_tuberculosistb_sum,Percentage_of_deaths_due_to_tuberculosistb_avg,Number_of_failed_treatments_for_tuberculosistb_sum,Number_of_failed_treatments_for_tuberculosistb_avg,Percentage_of_failed_treatments_for_tuberculosistb_sum,Percentage_of_failed_treatments_for_tuberculosistb_avg,Number_of_tuberculosistb_cases_lost_to_followup_sum,Number_of_tuberculosistb_cases_lost_to_followup_avg,Percentage_of_tuberculosistb_cases_lost_to_followup_sum,Percentage_of_tuberculosistb_cases_lost_to_followup_avg,Number_of_regimen_change_in_tuberculosistb_cases_sum,Number_of_regimen_change_in_tuberculosistb_cases_avg,Percentage_of_regimen_change_in_tuberculosistb_cases_sum,Percentage_of_regimen_change_in_tuberculosistb_cases_avg,Number_of_tuberculosistb_cases_not_evaluated_sum,Number_of_tuberculosistb_cases_not_evaluated_avg,Percentage_of_tuberculosistb_cases_not_evaluated_sum,Percentage_of_tuberculosistb_cases_not_evaluated_avg
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2017",7818.1679923719,7818.1679923719,5447.1884836131,5447.1884836131,2614.5330969111,2614.5330969111,48.0,48.0,5386.54461829,5386.54461829,69.0,69.0,186.8222302694,186.8222302694,2.4,2.4,68.4688802034,68.4688802034,0.9,0.9,153.5659170277,153.5659170277,2.0,2.0,39.125074402,39.125074402,0.5,0.5,1983.6412721794,1983.6412721794,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2018",10734.9422890381,10734.9422890381,5649.6607436432,5649.6607436432,3879.2511269545,3879.2511269545,69.0,69.0,8978.2264483901,8978.2264483901,84.0,84.0,268.9848865135,268.9848865135,3.0,3.0,71.4032607836,71.4032607836,1.0,1.0,224.9691778113,224.9691778113,2.0,2.0,42.0594549821,42.0594549821,0.0,0.0,1149.2990605576,1149.2990605576,11.0,11.0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2019",10644.0,10644.0,5349.0,5349.0,3762.0,3762.0,70.0,70.0,9079.0,9079.0,85.0,85.0,286.0,286.0,2.7,2.7,47.0,47.0,0.4,0.4,159.0,159.0,1.5,1.5,74.0,74.0,0.7,0.7,999.0,999.0,9.4,9.4
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020",8194.0,8194.0,4091.0,4091.0,2962.0,2962.0,72.0,72.0,6793.0,6793.0,83.0,83.0,294.0,294.0,3.6,3.6,46.0,46.0,0.6,0.6,110.0,110.0,1.3,1.3,73.0,73.0,0.9,0.9,459.0,459.0,5.6,5.6
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2021",10279.0,10279.0,,,3855.0,3855.0,37.5,37.5,8815.0,8815.0,85.8,85.8,397.0,397.0,3.9,3.9,69.0,69.0,0.7,0.7,167.0,167.0,1.6,1.6,88.0,88.0,0.9,0.9,98.0,98.0,1.0,1.0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2022",11258.0,11258.0,,,4532.0,4532.0,40.3,40.3,9706.0,9706.0,86.2,86.2,425.0,425.0,3.8,3.8,36.0,36.0,0.3,0.3,138.0,138.0,1.2,1.2,72.0,72.0,0.6,0.6,34.0,34.0,0.3,0.3
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2017",13040.0,13040.0,9192.0,9192.0,5975.0,5975.0,65.0,65.0,11652.0,11652.0,89.0,89.0,537.0,537.0,4.1,4.1,88.0,88.0,0.7,0.7,258.0,258.0,2.0,2.0,192.0,192.0,1.5,1.5,313.0,313.0,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018",15482.0,15482.0,9816.0,9816.0,6564.0,6564.0,67.0,67.0,13799.0,13799.0,89.0,89.0,627.0,627.0,4.0,4.0,70.0,70.0,0.0,0.0,237.0,237.0,2.0,2.0,123.0,123.0,1.0,1.0,626.0,626.0,4.0,4.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019",16467.0,16467.0,10913.0,10913.0,7343.0,7343.0,67.0,67.0,14779.0,14779.0,90.0,90.0,792.0,792.0,4.8,4.8,56.0,56.0,0.3,0.3,236.0,236.0,1.4,1.4,201.0,201.0,1.2,1.2,403.0,403.0,2.4,2.4
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2020",12713.0,12713.0,8501.0,8501.0,5580.0,5580.0,66.0,66.0,11174.0,11174.0,88.0,88.0,695.0,695.0,5.5,5.5,42.0,42.0,0.3,0.3,122.0,122.0,1.0,1.0,233.0,233.0,1.8,1.8,127.0,127.0,1.0,1.0
