Country,StateName,StateCode,Year,Number_of_districts_partly_or_wholly_as_tribal_district_sum,Number_of_districts_partly_or_wholly_as_tribal_district_avg,Number_of_tribal_Tuberculosis_TB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_public_sector_sum,Number_of_tribal_Tuberculosis_TB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_public_sector_avg,Percentage_of_tribal_Tuberculosis_TB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_public_sector_sum,Percentage_of_tribal_Tuberculosis_TB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_public_sector_avg,Number_of_tribal_TuberculosisTB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_private_sector_sum,Number_of_tribal_TuberculosisTB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_private_sector_avg,Percentage_of_tribal_Tuberculosis_TB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_private_sector_sum,Percentage_of_tribal_Tuberculosis_TB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_private_sector_avg,Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_public_sector_sum,Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_public_sector_avg,Percentage_of_Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_public_sector_sum,Percentage_of_Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_public_sector_avg,Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_private_sector_sum,Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_private_sector_avg,Percentage_of_Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_private_sector_sum,Percentage_of_Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_private_sector_avg,Tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_public_sector_sum,Tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_public_sector_avg,Percentage_of_Tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_public_sector_sum,Percentage_of_Tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_public_sector_avg,Tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_private_sector_sum,Tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_private_sector_avg,Percentage_of_tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_private_sector_sum,Percentage_of_tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_private_sector_avg,Percentage_of_persons_notified_under_public_sector_sum,Percentage_of_persons_notified_under_public_sector_avg,Percentage_of_persons_notified_under_private_sector_sum,Percentage_of_persons_notified_under_private_sector_avg
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020",,,765.8733314184,765.8733314184,,,38.1469475419,38.1469475419,,,,,,,,,,,10387.7072537207,10387.7072537207,,,715.9888615559,715.9888615559,,,95.0,95.0,95.0,95.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021",3.0,3.0,239.0,239.0,,,10.0,10.0,,,280.0,280.0,,,22.0,22.0,,,275.0,275.0,,,19.0,19.0,,,98.0,98.0,86.0,86.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022",1.0,1.0,19.0,19.0,,,0.0,0.0,,,57.0,57.0,,,0.0,0.0,,,56.0,56.0,,,,,,,98.2,98.2,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2023",1.0,1.0,13.0,13.0,,,2.0,2.0,,,71.0,71.0,,,2.0,2.0,,,67.0,67.0,,,2.0,2.0,,,94.4,94.4,100.0,100.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2024",1.0,1.0,9.0,9.0,56.3,56.3,7.0,7.0,43.8,43.8,61.0,61.0,87.1,87.1,9.0,9.0,12.86,12.86,58.0,58.0,95.1,95.1,9.0,9.0,100.0,100.0,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2020",,,414.0,414.0,,,1.0,1.0,,,,,,,,,,,16566.0,16566.0,,,952.0,952.0,,,98.0,98.0,90.0,90.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2021",3.0,3.0,141.0,141.0,,,0.0,0.0,,,286.0,286.0,,,3.0,3.0,,,283.0,283.0,,,2.0,2.0,,,99.0,99.0,67.0,67.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2022",3.0,3.0,162.0,162.0,,,1.0,1.0,,,380.0,380.0,,,4.0,4.0,,,373.0,373.0,,,4.0,4.0,,,98.2,98.2,100.0,100.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2023",3.0,3.0,207.0,207.0,,,0.0,0.0,,,448.0,448.0,,,0.0,0.0,,,432.0,432.0,,,0.0,0.0,,,96.4,96.4,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2024",3.0,3.0,180.0,180.0,100.0,100.0,0.0,0.0,0.0,0.0,386.0,386.0,100.0,100.0,0.0,0.0,0.0,0.0,379.0,379.0,98.2,98.2,,,,,,,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2020",,,7.0,7.0,,,1.0,1.0,,,,,,,,,,,43501.0,43501.0,,,12865.0,12865.0,,,95.0,95.0,94.0,94.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2022",1.0,1.0,0.0,0.0,,,4.0,4.0,,,0.0,0.0,,,1.0,1.0,,,,,,,,,,,,,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2023",1.0,1.0,0.0,0.0,,,12.0,12.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,
