Country,StateName,StateCode,DistrictName,DistrictCode,Year,I7035_4_sum,I7035_4_avg,I7035_5_sum,I7035_5_avg,I7035_6_sum,I7035_6_avg,I7035_7_sum,I7035_7_avg,I7035_8_sum,I7035_8_avg,I7035_9_sum,I7035_9_avg,I7035_10_sum,I7035_10_avg
India,Jammu and Kashmir,1,Anantnag,1,"Financial Year (Apr - Mar), 2016",157.0,157.0,40.0,40.0,5.0,5.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Anantnag,1,"Financial Year (Apr - Mar), 2017",157.0,157.0,40.0,40.0,5.0,5.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Anantnag,1,"Financial Year (Apr - Mar), 2018",149.0,149.0,19.0,19.0,5.0,5.0,8.0,8.0,24.0,24.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Anantnag,1,"Financial Year (Apr - Mar), 2020",139.0,139.0,65.0,65.0,5.0,5.0,,,,,0.0,0.0,0.0,0.0
India,Jammu and Kashmir,1,Anantnag,1,"Financial Year (Apr - Mar), 2021",139.0,139.0,65.0,65.0,5.0,5.0,,,,,0.0,0.0,0.0,0.0
India,Jammu and Kashmir,1,Budgam,2,"Financial Year (Apr - Mar), 2016",153.0,153.0,50.0,50.0,9.0,9.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Budgam,2,"Financial Year (Apr - Mar), 2017",153.0,153.0,50.0,50.0,9.0,9.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Budgam,2,"Financial Year (Apr - Mar), 2018",152.0,152.0,49.0,49.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Budgam,2,"Financial Year (Apr - Mar), 2020",136.0,136.0,70.0,70.0,9.0,9.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Budgam,2,"Financial Year (Apr - Mar), 2021",136.0,136.0,70.0,70.0,9.0,9.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Baramulla,3,"Financial Year (Apr - Mar), 2016",217.0,217.0,54.0,54.0,6.0,6.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Baramulla,3,"Financial Year (Apr - Mar), 2017",217.0,217.0,54.0,54.0,6.0,6.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Baramulla,3,"Financial Year (Apr - Mar), 2018",212.0,212.0,32.0,32.0,6.0,6.0,5.0,5.0,24.0,24.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Baramulla,3,"Financial Year (Apr - Mar), 2020",188.0,188.0,86.0,86.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0
India,Jammu and Kashmir,1,Baramulla,3,"Financial Year (Apr - Mar), 2021",188.0,188.0,86.0,86.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0
India,Jammu and Kashmir,1,Doda,4,"Financial Year (Apr - Mar), 2016",105.0,105.0,33.0,33.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Doda,4,"Financial Year (Apr - Mar), 2018",151.0,151.0,26.0,26.0,3.0,3.0,12.0,12.0,7.0,7.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Doda,4,"Financial Year (Apr - Mar), 2020",163.0,163.0,42.0,42.0,3.0,3.0,,,,,0.0,0.0,0.0,0.0
India,Jammu and Kashmir,1,Doda,4,"Financial Year (Apr - Mar), 2021",163.0,163.0,42.0,42.0,3.0,3.0,,,,,0.0,0.0,0.0,0.0
