Country,StateName,StateCode,Year,TRU,D7292_3,I7292_4_sum,I7292_4_avg,I7292_5_sum,I7292_5_avg,I7292_6_sum,I7292_6_avg,I7292_7_sum,I7292_7_avg,I7292_8_sum,I7292_8_avg,I7292_9_sum,I7292_9_avg,I7292_10_sum,I7292_10_avg,I7292_11_sum,I7292_11_avg,I7292_12_sum,I7292_12_avg,I7292_13_sum,I7292_13_avg,I7292_14_sum,I7292_14_avg
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural ,Female,0.1,0.1,26.6,26.6,20.1,20.1,0.0,0.0,25.1,25.1,0.0,0.0,15.1,15.1,13.1,13.1,100.0,100.0,36.1375232657,36.1375232657,29.3006945398,29.3006945398
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural ,Male,0.1,0.1,22.5,22.5,36.9,36.9,0.0,0.0,27.0,27.0,0.0,0.0,8.7,8.7,4.9,4.9,100.0,100.0,35.1608334477,35.1608334477,27.3473149038,27.3473149038
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Rural ,Person,0.1,0.1,24.6,24.6,28.4,28.4,0.0,0.0,26.1,26.1,0.0,0.0,11.9,11.9,9.1,9.1,100.0,100.0,70.3216668954,70.3216668954,56.6480094435,56.6480094435
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Female,0.1,0.1,15.5,15.5,49.2,49.2,0.0,0.0,16.1,16.1,0.0,0.0,12.0,12.0,7.2,7.2,100.0,100.0,128.1346186664,128.1346186664,90.9657979846,90.9657979846
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Male,0.1,0.1,15.3,15.3,43.9,43.9,3.1,3.1,20.1,20.1,0.0,0.0,11.0,11.0,6.5,6.5,100.0,100.0,75.3157682238,75.3157682238,81.1845293841,81.1845293841
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Total,Person,0.1,0.1,15.4,15.4,47.2,47.2,1.2,1.2,17.6,17.6,0.0,0.0,11.6,11.6,6.9,6.9,100.0,100.0,203.4503868902,203.4503868902,172.1503273686,172.1503273686
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban ,Female,0.3,0.3,10.7,10.7,61.9,61.9,0.0,0.0,12.1,12.1,0.0,0.0,10.7,10.7,4.6,4.6,100.0,100.0,92.3022327002,92.3022327002,61.862134682,61.862134682
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban ,Male,0.1,0.1,8.6,8.6,50.4,50.4,6.1,6.1,13.7,13.7,0.0,0.0,13.1,13.1,8.0,8.0,100.0,100.0,41.2414231214,41.2414231214,54.0066255161,54.0066255161
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Urban ,Person,0.2,0.2,10.1,10.1,58.3,58.3,1.9,1.9,12.6,12.6,0.0,0.0,11.4,11.4,5.7,5.7,100.0,100.0,133.5436558215,133.5436558215,115.8687601981,115.8687601981
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Rural ,Female,0.5,0.5,6.8,6.8,24.4,24.4,11.6,11.6,36.7,36.7,0.0,0.0,19.5,19.5,1.0,1.0,100.0,100.0,261.0,261.0,125.0,125.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Rural ,Male,0.6,0.6,15.1,15.1,29.5,29.5,13.8,13.8,21.3,21.3,0.3,0.3,17.9,17.9,2.1,2.1,100.0,100.0,348.0,348.0,134.0,134.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Rural ,Person,0.5,0.5,11.5,11.5,27.3,27.3,12.8,12.8,28.0,28.0,0.2,0.2,18.6,18.6,1.6,1.6,100.0,100.0,609.0,609.0,259.0,259.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Total,Female,0.3,0.3,7.9,7.9,25.6,25.6,10.8,10.8,34.2,34.2,0.0,0.0,20.7,20.7,0.9,0.9,100.0,100.0,288.0,288.0,163.0,163.0
