Country,StateName,StateCode,Year,I1278_3_sum,I1278_3_avg,I1278_4_sum,I1278_4_avg,I1278_5_sum,I1278_5_avg,I1278_6_sum,I1278_6_avg,I1278_7_sum,I1278_7_avg,I1278_8_sum,I1278_8_avg,I1278_9_sum,I1278_9_avg,I1278_10_sum,I1278_10_avg,I1278_11_sum,I1278_11_avg,I1278_12_sum,I1278_12_avg,I1278_13_sum,I1278_13_avg,I1278_14_sum,I1278_14_avg,I1278_15_sum,I1278_15_avg,I1278_16_sum,I1278_16_avg,I1278_17_sum,I1278_17_avg,I1278_18_sum,I1278_18_avg
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018",11629.928365983,11629.928365983,3956.5231488983,3956.5231488983,9559.2338032592,9559.2338032592,271.9192670936,271.9192670936,236.7067001319,236.7067001319,73.3595145037,73.3595145037,43.0375818422,43.0375818422,1445.6714991525,1445.6714991525,67.0,67.0,82.0,82.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,12.0,12.0,5883.4330631949,5883.4330631949
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019",11345.0,11345.0,3892.0,3892.0,9666.0,9666.0,295.0,295.0,164.0,164.0,52.0,52.0,77.0,77.0,1091.0,1091.0,69.0,69.0,85.0,85.0,2.6,2.6,1.4,1.4,0.5,0.5,0.7,0.7,9.6,9.6,5624.0,5624.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020",8800.0,8800.0,3172.0,3172.0,7290.0,7290.0,309.0,309.0,120.0,120.0,49.0,49.0,73.0,73.0,503.0,503.0,74.0,74.0,83.0,83.0,3.5,3.5,1.4,1.4,0.6,0.6,0.8,0.8,5.7,5.7,4291.0,4291.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021",10909.0,10909.0,3995.0,3995.0,9393.0,9393.0,417.0,417.0,177.0,177.0,71.0,71.0,91.0,91.0,103.0,103.0,36.6,36.6,86.1,86.1,3.8,3.8,1.6,1.6,0.7,0.7,0.8,0.8,0.9,0.9,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022",11802.0,11802.0,4629.0,4629.0,10204.0,10204.0,435.0,435.0,144.0,144.0,38.0,38.0,75.0,75.0,37.0,37.0,39.2,39.2,86.5,86.5,3.7,3.7,1.2,1.2,0.3,0.3,0.6,0.6,0.3,0.3,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018",16595.0,16595.0,6680.0,6680.0,14716.0,14716.0,661.0,661.0,264.0,264.0,71.0,71.0,124.0,124.0,759.0,759.0,67.0,67.0,89.0,89.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,5.0,5.0,9997.0,9997.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019",17368.0,17368.0,7492.0,7492.0,15565.0,15565.0,837.0,837.0,257.0,257.0,57.0,57.0,203.0,203.0,449.0,449.0,67.0,67.0,90.0,90.0,4.8,4.8,1.5,1.5,0.3,0.3,1.2,1.2,2.6,2.6,11183.0,11183.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2020",13299.0,13299.0,5704.0,5704.0,11643.0,11643.0,723.0,723.0,144.0,144.0,48.0,48.0,244.0,244.0,161.0,161.0,65.0,65.0,88.0,88.0,5.4,5.4,1.1,1.1,0.4,0.4,1.8,1.8,1.2,1.2,8715.0,8715.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2021",14532.0,14532.0,6142.0,6142.0,12731.0,12731.0,891.0,891.0,150.0,150.0,68.0,68.0,242.0,242.0,27.0,27.0,42.3,42.3,87.6,87.6,6.1,6.1,1.0,1.0,0.5,0.5,1.7,1.7,0.2,0.2,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2022",16168.0,16168.0,6837.0,6837.0,14018.0,14018.0,923.0,923.0,242.0,242.0,52.0,52.0,288.0,288.0,31.0,31.0,42.3,42.3,86.7,86.7,5.7,5.7,1.5,1.5,0.3,0.3,1.8,1.8,0.2,0.2,,
