Country,StateName,StateCode,Year,I1201_3_sum,I1201_3_avg,I1201_4_sum,I1201_4_avg,I1201_5_sum,I1201_5_avg,I1201_6_sum,I1201_6_avg,I1201_7_sum,I1201_7_avg,I1201_8_sum,I1201_8_avg,I1201_9_sum,I1201_9_avg,I1201_10_sum,I1201_10_avg,I1201_11_sum,I1201_11_avg
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2018",140.2232200609,140.2232200609,,,,,,,123747.7196991035,123747.7196991035,883.0,883.0,,,,,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2019",142.8065215672,142.8065215672,93795.518990682,93795.518990682,,,,,123313.4313732417,123313.4313732417,864.0,864.0,,,,,29517.9123825597,29517.9123825597
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020",145.0,145.0,115979.0,115979.0,,,,,138609.0,138609.0,956.0,956.0,,,,,22630.0,22630.0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2021",148.0,148.0,163371.0,163371.0,11907.0,11907.0,19950.0,19950.0,195228.0,195228.0,1323.0,1323.0,44.0,44.0,9.0,9.0,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2022",144.16,144.16,261642.0,261642.0,24500.0,24500.0,31877.0,31877.0,318019.0,318019.0,2206.0,2206.0,81.0,81.0,8.0,8.0,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2023",151.44,151.44,303250.0,303250.0,34305.0,34305.0,39191.0,39191.0,73496.0,73496.0,376746.0,376746.0,2488.0,2488.0,106.0,106.0,10.0,10.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018",73.5516,73.5516,,,,,,,134250.0,134250.0,1825.0,1825.0,,,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019",74.3,74.3,167751.0,167751.0,,,,,227689.0,227689.0,3066.0,3066.0,,,,,59938.0,59938.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2020",75.0,75.0,86993.0,86993.0,,,,,131376.0,131376.0,1752.0,1752.0,,,,,44383.0,44383.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2021",76.0,76.0,99539.0,99539.0,31620.0,31620.0,25230.0,25230.0,156389.0,156389.0,2066.0,2066.0,19.0,19.0,11.0,11.0,,
