Country,StateName,StateCode,Year,D1221_3,I1221_4_sum,I1221_4_avg,I1221_5_sum,I1221_5_avg,I1221_6_sum,I1221_6_avg,I1221_7_sum,I1221_7_avg,I1221_8_sum,I1221_8_avg,I1221_9_sum,I1221_9_avg,I1221_10_sum,I1221_10_avg,I1221_11_sum,I1221_11_avg,I1221_12_sum,I1221_12_avg,I1221_13_sum,I1221_13_avg
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,,,,,2.9343805801,2.9343805801,23.4750446412,23.4750446412,751.2014285177,751.2014285177,348.2131621775,348.2131621775
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,,,,,,,152.5877901676,152.5877901676,458.741497363,458.741497363,10911.983250707,10911.983250707,6467.3747986442,6467.3747986442
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021",Private,337.0,337.0,56.0,56.0,20.0,20.0,6.0,6.0,3.0,3.0,15.0,15.0,,,,,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021",Public,6097.0,6097.0,73.0,73.0,583.0,583.0,10.0,10.0,220.0,220.0,38.0,38.0,,,,,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022",Private,488.0,488.0,75.0,75.0,18.0,18.0,4.0,4.0,6.0,6.0,33.0,33.0,,,,,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022",Public,7525.0,7525.0,73.0,73.0,582.0,582.0,8.0,8.0,205.0,205.0,35.0,35.0,,,,,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2023",Private,513.0,513.0,88.1,88.1,24.0,24.0,4.7,4.7,15.0,15.0,62.5,62.5,,,,,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2023",Public,10254.0,10254.0,90.1,90.1,769.0,769.0,7.5,7.5,438.0,438.0,57.0,57.0,,,,,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2024",Private,420.0,420.0,93.3,93.3,17.0,17.0,4.0,4.0,15.0,15.0,88.2,88.2,,,,,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2024",Public,10407.0,10407.0,92.1,92.1,739.0,739.0,7.1,7.1,603.0,603.0,81.6,81.6,,,,,,,,
